arm	arch	norm	vendor	scan	cos	L1_over_zero	beat	dist
a0_full	decoder	minmax	varian	CV_P2_V_01	0.6032	0.8512	97.8	0.4205
a0_full	decoder	p0.5_p99.5	varian	CV_P2_V_01	0.4566	1.1035	40.0	0.0594
a0_full	decoder	p1_p99	varian	CV_P2_V_01	0.4440	1.1226	40.0	0.0529
a0_full	decoder	p2_p98	varian	CV_P2_V_01	0.4460	1.1678	32.2	0.0504
a0_full	decoder	p5_p95	varian	CV_P2_V_01	0.4504	1.2057	30.0	0.0550
a0_full	decoder	mu_air_water	varian	CV_P2_V_01	0.2571	1.1750	21.1	0.1054
a0_full	decoder	minmax	varian	CV_P3_V_01	0.5811	0.9145	72.2	0.1063
a0_full	decoder	p0.5_p99.5	varian	CV_P3_V_01	0.6269	0.9342	70.0	0.0832
a0_full	decoder	p1_p99	varian	CV_P3_V_01	0.6288	0.9205	71.1	0.0853
a0_full	decoder	p2_p98	varian	CV_P3_V_01	0.6293	0.9172	73.3	0.0870
a0_full	decoder	p5_p95	varian	CV_P3_V_01	0.6180	0.9223	72.2	0.0967
a0_full	decoder	mu_air_water	varian	CV_P3_V_01	0.5826	0.9004	78.9	0.0858
a0_full	decoder	minmax	varian	CV_P4_V_01	0.6460	0.7856	97.8	0.0964
a0_full	decoder	p0.5_p99.5	varian	CV_P4_V_01	0.6691	0.7749	88.9	0.1185
a0_full	decoder	p1_p99	varian	CV_P4_V_01	0.6632	0.7859	88.9	0.1245
a0_full	decoder	p2_p98	varian	CV_P4_V_01	0.6543	0.7976	88.9	0.1315
a0_full	decoder	p5_p95	varian	CV_P4_V_01	0.6354	0.8175	87.8	0.1329
a0_full	decoder	mu_air_water	varian	CV_P4_V_01	0.5666	0.8517	90.0	0.0916
a0_full	decoder	minmax	varian	CV_P5_V_01	0.5583	0.8545	100.0	0.1719
a0_full	decoder	p0.5_p99.5	varian	CV_P5_V_01	0.6938	0.7454	100.0	0.0698
a0_full	decoder	p1_p99	varian	CV_P5_V_01	0.6932	0.7454	100.0	0.0631
a0_full	decoder	p2_p98	varian	CV_P5_V_01	0.6859	0.7499	100.0	0.0636
a0_full	decoder	p5_p95	varian	CV_P5_V_01	0.6654	0.7648	100.0	0.0786
a0_full	decoder	mu_air_water	varian	CV_P5_V_01	0.6455	0.7921	100.0	0.0950
a0_full	decoder	minmax	elekta	CE_P1_V_01	0.0042	1.0314	35.6	0.5805
a0_full	decoder	p0.5_p99.5	elekta	CE_P1_V_01	0.4515	0.9664	65.6	0.2785
a0_full	decoder	p1_p99	elekta	CE_P1_V_01	0.4563	0.9879	55.6	0.2620
a0_full	decoder	p2_p98	elekta	CE_P1_V_01	0.4779	0.9738	62.2	0.2670
a0_full	decoder	p5_p95	elekta	CE_P1_V_01	0.5335	0.9201	81.1	0.2699
a0_full	decoder	mu_air_water	elekta	CE_P1_V_01	0.5693	0.8715	96.7	0.2672
a0_full	decoder	minmax	elekta	CE_P2_V_01	-0.0677	1.0394	18.9	0.6714
a0_full	decoder	p0.5_p99.5	elekta	CE_P2_V_01	0.1301	1.0232	40.0	0.4051
a0_full	decoder	p1_p99	elekta	CE_P2_V_01	0.2308	0.9867	72.2	0.3655
a0_full	decoder	p2_p98	elekta	CE_P2_V_01	0.4363	0.9138	78.9	0.2564
a0_full	decoder	p5_p95	elekta	CE_P2_V_01	0.4703	0.9128	74.4	0.1586
a0_full	decoder	mu_air_water	elekta	CE_P2_V_01	0.4055	0.9434	76.7	0.3298
a0_full	decoder	minmax	elekta	CE_P3_V_01	0.1230	0.9895	53.3	0.9794
a0_full	decoder	p0.5_p99.5	elekta	CE_P3_V_01	0.2776	0.9654	61.1	0.5161
a0_full	decoder	p1_p99	elekta	CE_P3_V_01	0.3752	0.9251	77.8	0.4334
a0_full	decoder	p2_p98	elekta	CE_P3_V_01	0.4423	0.8993	82.2	0.3976
a0_full	decoder	p5_p95	elekta	CE_P3_V_01	0.4288	0.9067	82.2	0.3938
a0_full	decoder	mu_air_water	elekta	CE_P3_V_01	0.3719	0.9172	83.3	0.3726
a0_full	decoder	minmax	elekta	CE_P4_V_01	0.2099	0.9944	57.8	0.4818
a0_full	decoder	p0.5_p99.5	elekta	CE_P4_V_01	0.4719	0.9237	78.9	0.1079
a0_full	decoder	p1_p99	elekta	CE_P4_V_01	0.5007	0.9041	80.0	0.0850
a0_full	decoder	p2_p98	elekta	CE_P4_V_01	0.5097	0.9059	80.0	0.0808
a0_full	decoder	p5_p95	elekta	CE_P4_V_01	0.4997	0.9269	78.9	0.0867
a0_full	decoder	mu_air_water	elekta	CE_P4_V_01	0.4755	0.9358	77.8	0.0628
a0_full	decoder	minmax	elekta	CE_P5_V_01	0.4885	0.9045	85.6	0.3998
a0_full	decoder	p0.5_p99.5	elekta	CE_P5_V_01	0.3633	0.9412	76.7	0.2712
a0_full	decoder	p1_p99	elekta	CE_P5_V_01	0.4891	0.8836	84.4	0.2241
a0_full	decoder	p2_p98	elekta	CE_P5_V_01	0.5469	0.8418	85.6	0.1956
a0_full	decoder	p5_p95	elekta	CE_P5_V_01	0.5715	0.8216	83.3	0.1834
a0_full	decoder	mu_air_water	elekta	CE_P5_V_01	0.5734	0.8303	86.7	0.1820
a0_full	both	minmax	varian	CV_P1_V_01	0.3739	1.1099	37.8	0.1610
a0_full	both	p0.5_p99.5	varian	CV_P1_V_01	0.3745	1.1386	47.8	0.0288
a0_full	both	p1_p99	varian	CV_P1_V_01	0.3640	1.1272	46.7	0.0232
a0_full	both	p2_p98	varian	CV_P1_V_01	0.3540	1.1038	48.9	0.0205
a0_full	both	p5_p95	varian	CV_P1_V_01	0.3580	1.1063	43.3	0.0213
a0_full	both	mu_air_water	varian	CV_P1_V_01	0.3852	1.0879	51.1	0.0659
a0_full	both	minmax	varian	CV_P2_V_01	0.5693	0.8667	100.0	0.4205
a0_full	both	p0.5_p99.5	varian	CV_P2_V_01	0.5403	0.9603	74.4	0.0594
a0_full	both	p1_p99	varian	CV_P2_V_01	0.5479	0.9535	77.8	0.0529
a0_full	both	p2_p98	varian	CV_P2_V_01	0.5554	0.9455	77.8	0.0504
a0_full	both	p5_p95	varian	CV_P2_V_01	0.5658	0.9302	81.1	0.0550
a0_full	both	mu_air_water	varian	CV_P2_V_01	0.5296	0.9226	82.2	0.1054
a0_full	both	minmax	varian	CV_P3_V_01	0.5923	0.9023	76.7	0.1063
a0_full	both	p0.5_p99.5	varian	CV_P3_V_01	0.6129	0.8620	82.2	0.0832
a0_full	both	p1_p99	varian	CV_P3_V_01	0.6100	0.8548	83.3	0.0853
a0_full	both	p2_p98	varian	CV_P3_V_01	0.6074	0.8526	84.4	0.0870
a0_full	both	p5_p95	varian	CV_P3_V_01	0.6061	0.8524	84.4	0.0967
a0_full	both	mu_air_water	varian	CV_P3_V_01	0.6451	0.8369	84.4	0.0858
a0_full	both	minmax	varian	CV_P4_V_01	0.6847	0.7697	95.6	0.0964
a0_full	both	p0.5_p99.5	varian	CV_P4_V_01	0.7085	0.7388	95.6	0.1185
a0_full	both	p1_p99	varian	CV_P4_V_01	0.7050	0.7437	94.4	0.1245
a0_full	both	p2_p98	varian	CV_P4_V_01	0.6997	0.7501	94.4	0.1315
