arm	arch	norm	vendor	scan	cos	L1_over_zero	beat	dist
a0h	decoder	minmax	elekta	CE_P5_V_01	0.2855	0.9653	81.1	0.3998
a0h	decoder	p0.5_p99.5	elekta	CE_P5_V_01	0.4420	0.9064	85.6	0.2712
a0h	decoder	p1_p99	elekta	CE_P5_V_01	0.5268	0.8623	86.7	0.2241
a0h	decoder	p2_p98	elekta	CE_P5_V_01	0.5333	0.8552	86.7	0.1956
a0h	decoder	p5_p95	elekta	CE_P5_V_01	0.5227	0.8568	83.3	0.1834
a0h	decoder	mu_air_water	elekta	CE_P5_V_01	0.5161	0.8648	80.0	0.1820
a1_full	encoder	minmax	varian	CV_P1_V_01	0.3823	1.0650	51.1	0.1610
a1_full	encoder	p0.5_p99.5	varian	CV_P1_V_01	0.3785	1.0250	61.1	0.0288
a1_full	encoder	p1_p99	varian	CV_P1_V_01	0.3758	1.0235	61.1	0.0232
a1_full	encoder	p2_p98	varian	CV_P1_V_01	0.3701	1.0275	58.9	0.0205
a1_full	encoder	p5_p95	varian	CV_P1_V_01	0.3638	1.0379	56.7	0.0213
a1_full	encoder	mu_air_water	varian	CV_P1_V_01	0.3674	1.0552	58.9	0.0659
a1_full	encoder	minmax	varian	CV_P2_V_01	0.5975	0.8576	96.7	0.4205
a1_full	encoder	p0.5_p99.5	varian	CV_P2_V_01	0.5728	0.8880	92.2	0.0594
a1_full	encoder	p1_p99	varian	CV_P2_V_01	0.5783	0.8850	93.3	0.0529
a1_full	encoder	p2_p98	varian	CV_P2_V_01	0.5821	0.8841	93.3	0.0504
a1_full	encoder	p5_p95	varian	CV_P2_V_01	0.5803	0.8881	90.0	0.0550
a1_full	encoder	mu_air_water	varian	CV_P2_V_01	0.6278	0.8553	94.4	0.1054
a1_full	encoder	minmax	varian	CV_P3_V_01	0.5968	0.8660	83.3	0.1063
a1_full	encoder	p0.5_p99.5	varian	CV_P3_V_01	0.6264	0.8244	88.9	0.0832
a1_full	encoder	p1_p99	varian	CV_P3_V_01	0.6241	0.8239	91.1	0.0853
a1_full	encoder	p2_p98	varian	CV_P3_V_01	0.6202	0.8259	92.2	0.0870
a1_full	encoder	p5_p95	varian	CV_P3_V_01	0.6130	0.8309	92.2	0.0967
a1_full	encoder	mu_air_water	varian	CV_P3_V_01	0.6466	0.8283	84.4	0.0858
a1_full	encoder	minmax	varian	CV_P4_V_01	0.6936	0.7417	94.4	0.0964
a1_full	encoder	p0.5_p99.5	varian	CV_P4_V_01	0.6809	0.7648	95.6	0.1185
a1_full	encoder	p1_p99	varian	CV_P4_V_01	0.6772	0.7695	95.6	0.1245
a1_full	encoder	p2_p98	varian	CV_P4_V_01	0.6733	0.7741	94.4	0.1315
a1_full	encoder	p5_p95	varian	CV_P4_V_01	0.6671	0.7810	93.3	0.1329
a1_full	encoder	mu_air_water	varian	CV_P4_V_01	0.6912	0.7488	95.6	0.0916
a1_full	encoder	minmax	varian	CV_P5_V_01	0.5437	0.8529	97.8	0.1719
a1_full	encoder	p0.5_p99.5	varian	CV_P5_V_01	0.6449	0.8035	100.0	0.0698
a1_full	encoder	p1_p99	varian	CV_P5_V_01	0.6372	0.8112	100.0	0.0631
a1_full	encoder	p2_p98	varian	CV_P5_V_01	0.6284	0.8179	100.0	0.0636
a1_full	encoder	p5_p95	varian	CV_P5_V_01	0.6141	0.8265	100.0	0.0786
a1_full	encoder	mu_air_water	varian	CV_P5_V_01	0.6717	0.7641	98.9	0.0950
a1_full	encoder	minmax	elekta	CE_P1_V_01	0.2531	0.9827	62.2	0.5805
a1_full	encoder	p0.5_p99.5	elekta	CE_P1_V_01	0.5517	0.8643	95.6	0.2785
a1_full	encoder	p1_p99	elekta	CE_P1_V_01	0.5568	0.8688	93.3	0.2620
a1_full	encoder	p2_p98	elekta	CE_P1_V_01	0.5577	0.8724	92.2	0.2670
a1_full	encoder	p5_p95	elekta	CE_P1_V_01	0.5709	0.8663	92.2	0.2699
a1_full	encoder	mu_air_water	elekta	CE_P1_V_01	0.5915	0.8346	98.9	0.2672
a1_full	encoder	minmax	elekta	CE_P2_V_01	0.1879	1.0122	50.0	0.6714
a1_full	encoder	p0.5_p99.5	elekta	CE_P2_V_01	0.3338	0.9661	70.0	0.4051
a1_full	encoder	p1_p99	elekta	CE_P2_V_01	0.3731	0.9512	72.2	0.3655
a1_full	encoder	p2_p98	elekta	CE_P2_V_01	0.4016	0.9397	76.7	0.2564
a1_full	encoder	p5_p95	elekta	CE_P2_V_01	0.3806	0.9546	78.9	0.1586
a1_full	encoder	mu_air_water	elekta	CE_P2_V_01	0.3553	0.9598	77.8	0.3298
a1_full	encoder	minmax	elekta	CE_P3_V_01	0.3543	0.9538	86.7	0.9794
a1_full	encoder	p0.5_p99.5	elekta	CE_P3_V_01	0.4699	0.9106	85.6	0.5161
a1_full	encoder	p1_p99	elekta	CE_P3_V_01	0.4894	0.9016	85.6	0.4334
a1_full	encoder	p2_p98	elekta	CE_P3_V_01	0.4873	0.9007	82.2	0.3976
a1_full	encoder	p5_p95	elekta	CE_P3_V_01	0.4842	0.9040	82.2	0.3938
a1_full	encoder	mu_air_water	elekta	CE_P3_V_01	0.4650	0.9020	87.8	0.3726
a1_full	encoder	minmax	elekta	CE_P4_V_01	0.4059	0.9355	85.6	0.4818
a1_full	encoder	p0.5_p99.5	elekta	CE_P4_V_01	0.4360	0.9144	84.4	0.1079
a1_full	encoder	p1_p99	elekta	CE_P4_V_01	0.4209	0.9197	84.4	0.0850
a1_full	encoder	p2_p98	elekta	CE_P4_V_01	0.4043	0.9259	84.4	0.0808
a1_full	encoder	p5_p95	elekta	CE_P4_V_01	0.3880	0.9319	84.4	0.0867
a1_full	encoder	mu_air_water	elekta	CE_P4_V_01	0.4449	0.9215	81.1	0.0628
a1_full	encoder	minmax	elekta	CE_P5_V_01	0.4171	0.9364	78.9	0.3998
a1_full	encoder	p0.5_p99.5	elekta	CE_P5_V_01	0.5250	0.8608	85.6	0.2712
a1_full	encoder	p1_p99	elekta	CE_P5_V_01	0.5397	0.8523	84.4	0.2241
a1_full	encoder	p2_p98	elekta	CE_P5_V_01	0.5452	0.8506	84.4	0.1956
a1_full	encoder	p5_p95	elekta	CE_P5_V_01	0.5466	0.8550	84.4	0.1834
a1_full	encoder	mu_air_water	elekta	CE_P5_V_01	0.6044	0.8185	88.9	0.1820
a1_full	decoder	minmax	varian	CV_P1_V_01	0.4046	1.0556	53.3	0.1610
a1_full	decoder	p0.5_p99.5	varian	CV_P1_V_01	0.3957	1.0407	57.8	0.0288
a1_full	decoder	p1_p99	varian	CV_P1_V_01	0.3955	1.0360	57.8	0.0232
a1_full	decoder	p2_p98	varian	CV_P1_V_01	0.3964	1.0353	57.8	0.0205
a1_full	decoder	p5_p95	varian	CV_P1_V_01	0.3943	1.0302	56.7	0.0213
a1_full	decoder	mu_air_water	varian	CV_P1_V_01	0.3944	1.0626	53.3	0.0659
a1_full	decoder	minmax	varian	CV_P2_V_01	0.6186	0.8396	100.0	0.4205
a1_full	decoder	p0.5_p99.5	varian	CV_P2_V_01	0.5339	0.9124	96.7	0.0594
a1_full	decoder	p1_p99	varian	CV_P2_V_01	0.5416	0.9050	96.7	0.0529
a1_full	decoder	p2_p98	varian	CV_P2_V_01	0.5625	0.8852	98.9	0.0504
a1_full	decoder	p5_p95	varian	CV_P2_V_01	0.5979	0.8526	100.0	0.0550
a1_full	decoder	mu_air_water	varian	CV_P2_V_01	0.6171	0.8562	97.8	0.1054
a1_full	decoder	minmax	varian	CV_P3_V_01	0.6049	0.8458	83.3	0.1063
a1_full	decoder	p0.5_p99.5	varian	CV_P3_V_01	0.6290	0.8121	90.0	0.0832
a1_full	decoder	p1_p99	varian	CV_P3_V_01	0.6260	0.8099	92.2	0.0853
a1_full	decoder	p2_p98	varian	CV_P3_V_01	0.6230	0.8097	93.3	0.0870
a1_full	decoder	p5_p95	varian	CV_P3_V_01	0.6207	0.8107	92.2	0.0967
a1_full	decoder	mu_air_water	varian	CV_P3_V_01	0.6466	0.8111	86.7	0.0858
a1_full	decoder	minmax	varian	CV_P4_V_01	0.6339	0.7810	97.8	0.0964
a1_full	decoder	p0.5_p99.5	varian	CV_P4_V_01	0.6408	0.7884	93.3	0.1185
a1_full	decoder	p1_p99	varian	CV_P4_V_01	0.6371	0.7925	92.2	0.1245
a1_full	decoder	p2_p98	varian	CV_P4_V_01	0.6328	0.7970	92.2	0.1315
a1_full	decoder	p5_p95	varian	CV_P4_V_01	0.6258	0.8034	92.2	0.1329
a1_full	decoder	mu_air_water	varian	CV_P4_V_01	0.6578	0.7680	95.6	0.0916
a1_full	decoder	minmax	varian	CV_P5_V_01	0.5578	0.8442	97.8	0.1719
a1_full	decoder	p0.5_p99.5	varian	CV_P5_V_01	0.6502	0.7804	98.9	0.0698
a1_full	decoder	p1_p99	varian	CV_P5_V_01	0.6385	0.7938	98.9	0.0631
a1_full	decoder	p2_p98	varian	CV_P5_V_01	0.6338	0.8008	97.8	0.0636
a1_full	decoder	p5_p95	varian	CV_P5_V_01	0.6269	0.8100	97.8	0.0786
a1_full	decoder	mu_air_water	varian	CV_P5_V_01	0.6876	0.7494	98.9	0.0950
a1_full	decoder	minmax	elekta	CE_P1_V_01	-0.1027	1.0454	13.3	0.5805
a1_full	decoder	p0.5_p99.5	elekta	CE_P1_V_01	0.6771	0.7639	97.8	0.2785
a1_full	decoder	p1_p99	elekta	CE_P1_V_01	0.6844	0.7595	97.8	0.2620
a1_full	decoder	p2_p98	elekta	CE_P1_V_01	0.6820	0.7650	97.8	0.2670
a1_full	decoder	p5_p95	elekta	CE_P1_V_01	0.6598	0.7829	98.9	0.2699
a1_full	decoder	mu_air_water	elekta	CE_P1_V_01	0.6280	0.8012	100.0	0.2672
a1_full	decoder	minmax	elekta	CE_P2_V_01	0.1852	0.9889	74.4	0.6714
a1_full	decoder	p0.5_p99.5	elekta	CE_P2_V_01	0.4130	0.9283	78.9	0.4051
a1_full	decoder	p1_p99	elekta	CE_P2_V_01	0.4431	0.9155	75.6	0.3655
a1_full	decoder	p2_p98	elekta	CE_P2_V_01	0.4624	0.9044	76.7	0.2564
a1_full	decoder	p5_p95	elekta	CE_P2_V_01	0.4557	0.9190	76.7	0.1586
a1_full	decoder	mu_air_water	elekta	CE_P2_V_01	0.4299	0.9300	76.7	0.3298
a1_full	decoder	minmax	elekta	CE_P3_V_01	0.2459	0.9673	83.3	0.9794
a1_full	decoder	p0.5_p99.5	elekta	CE_P3_V_01	0.5184	0.8942	88.9	0.5161
a1_full	decoder	p1_p99	elekta	CE_P3_V_01	0.5577	0.8790	86.7	0.4334
a1_full	decoder	p2_p98	elekta	CE_P3_V_01	0.5545	0.8802	85.6	0.3976
a1_full	decoder	p5_p95	elekta	CE_P3_V_01	0.5528	0.8856	81.1	0.3938
a1_full	decoder	mu_air_water	elekta	CE_P3_V_01	0.5271	0.8983	90.0	0.3726
a1_full	decoder	minmax	elekta	CE_P4_V_01	0.4533	0.9175	86.7	0.4818
a1_full	decoder	p0.5_p99.5	elekta	CE_P4_V_01	0.5168	0.8903	82.2	0.1079
a1_full	decoder	p1_p99	elekta	CE_P4_V_01	0.5049	0.8963	82.2	0.0850
a1_full	decoder	p2_p98	elekta	CE_P4_V_01	0.4926	0.9021	83.3	0.0808
a1_full	decoder	p5_p95	elekta	CE_P4_V_01	0.4739	0.9112	83.3	0.0867
a1_full	decoder	mu_air_water	elekta	CE_P4_V_01	0.4694	0.9279	77.8	0.0628
a1_full	decoder	minmax	elekta	CE_P5_V_01	0.1878	0.9854	73.3	0.3998
a1_full	decoder	p0.5_p99.5	elekta	CE_P5_V_01	0.5588	0.8364	86.7	0.2712
a1_full	decoder	p1_p99	elekta	CE_P5_V_01	0.5712	0.8224	86.7	0.2241
a1_full	decoder	p2_p98	elekta	CE_P5_V_01	0.5734	0.8189	86.7	0.1956
a1_full	decoder	p5_p95	elekta	CE_P5_V_01	0.5704	0.8220	86.7	0.1834
a1_full	decoder	mu_air_water	elekta	CE_P5_V_01	0.5555	0.8327	85.6	0.1820
a1_full	both	minmax	varian	CV_P1_V_01	0.4015	1.0717	58.9	0.1610
a1_full	both	p0.5_p99.5	varian	CV_P1_V_01	0.3897	1.1306	41.1	0.0288
a1_full	both	p1_p99	varian	CV_P1_V_01	0.3852	1.1448	38.9	0.0232
a1_full	both	p2_p98	varian	CV_P1_V_01	0.3769	1.1527	37.8	0.0205
a1_full	both	p5_p95	varian	CV_P1_V_01	0.3615	1.1635	33.3	0.0213
a1_full	both	mu_air_water	varian	CV_P1_V_01	0.3949	1.1155	44.4	0.0659
a1_full	both	minmax	varian	CV_P2_V_01	0.5993	0.8614	97.8	0.4205
a1_full	both	p0.5_p99.5	varian	CV_P2_V_01	0.5732	0.9595	70.0	0.0594
a1_full	both	p1_p99	varian	CV_P2_V_01	0.5779	0.9566	73.3	0.0529
a1_full	both	p2_p98	varian	CV_P2_V_01	0.5840	0.9522	74.4	0.0504
a1_full	both	p5_p95	varian	CV_P2_V_01	0.5937	0.9436	75.6	0.0550
a1_full	both	mu_air_water	varian	CV_P2_V_01	0.5956	0.9086	84.4	0.1054
a1_full	both	minmax	varian	CV_P3_V_01	0.5925	0.8816	76.7	0.1063
a1_full	both	p0.5_p99.5	varian	CV_P3_V_01	0.6384	0.8825	78.9	0.0832
a1_full	both	p1_p99	varian	CV_P3_V_01	0.6366	0.8797	77.8	0.0853
a1_full	both	p2_p98	varian	CV_P3_V_01	0.6323	0.8766	80.0	0.0870
a1_full	both	p5_p95	varian	CV_P3_V_01	0.6253	0.8722	82.2	0.0967
a1_full	both	mu_air_water	varian	CV_P3_V_01	0.6423	0.8670	80.0	0.0858
a1_full	both	minmax	varian	CV_P4_V_01	0.6932	0.7387	97.8	0.0964
a1_full	both	p0.5_p99.5	varian	CV_P4_V_01	0.6740	0.7790	91.1	0.1185
a1_full	both	p1_p99	varian	CV_P4_V_01	0.6726	0.7807	90.0	0.1245
a1_full	both	p2_p98	varian	CV_P4_V_01	0.6712	0.7819	91.1	0.1315
a1_full	both	p5_p95	varian	CV_P4_V_01	0.6690	0.7836	92.2	0.1329
a1_full	both	mu_air_water	varian	CV_P4_V_01	0.6590	0.7898	91.1	0.0916
a1_full	both	minmax	varian	CV_P5_V_01	0.6067	0.8193	100.0	0.1719
a1_full	both	p0.5_p99.5	varian	CV_P5_V_01	0.6581	0.7745	98.9	0.0698
a1_full	both	p1_p99	varian	CV_P5_V_01	0.6480	0.7840	98.9	0.0631
a1_full	both	p2_p98	varian	CV_P5_V_01	0.6415	0.7898	98.9	0.0636
a1_full	both	p5_p95	varian	CV_P5_V_01	0.6382	0.7931	98.9	0.0786
a1_full	both	mu_air_water	varian	CV_P5_V_01	0.7048	0.7313	100.0	0.0950
a1_full	both	minmax	elekta	CE_P1_V_01	0.2728	0.9770	68.9	0.5805
a1_full	both	p0.5_p99.5	elekta	CE_P1_V_01	0.6529	0.8107	95.6	0.2785
a1_full	both	p1_p99	elekta	CE_P1_V_01	0.6592	0.7975	97.8	0.2620
a1_full	both	p2_p98	elekta	CE_P1_V_01	0.6603	0.7924	97.8	0.2670
a1_full	both	p5_p95	elekta	CE_P1_V_01	0.6594	0.7865	100.0	0.2699
a1_full	both	mu_air_water	elekta	CE_P1_V_01	0.6336	0.8113	98.9	0.2672
a1_full	both	minmax	elekta	CE_P2_V_01	0.2237	1.0109	58.9	0.6714
a1_full	both	p0.5_p99.5	elekta	CE_P2_V_01	0.4027	0.9408	72.2	0.4051
a1_full	both	p1_p99	elekta	CE_P2_V_01	0.4224	0.9405	73.3	0.3655
a1_full	both	p2_p98	elekta	CE_P2_V_01	0.4218	0.9626	72.2	0.2564
a1_full	both	p5_p95	elekta	CE_P2_V_01	0.4243	0.9738	68.9	0.1586
a1_full	both	mu_air_water	elekta	CE_P2_V_01	0.3750	0.9682	76.7	0.3298
a1_full	both	minmax	elekta	CE_P3_V_01	0.4705	0.9347	78.9	0.9794
a1_full	both	p0.5_p99.5	elekta	CE_P3_V_01	0.5335	0.9003	84.4	0.5161
a1_full	both	p1_p99	elekta	CE_P3_V_01	0.5370	0.8919	81.1	0.4334
a1_full	both	p2_p98	elekta	CE_P3_V_01	0.5253	0.8923	80.0	0.3976
a1_full	both	p5_p95	elekta	CE_P3_V_01	0.5090	0.8988	81.1	0.3938
a1_full	both	mu_air_water	elekta	CE_P3_V_01	0.4174	0.9120	86.7	0.3726
a1_full	both	minmax	elekta	CE_P4_V_01	0.5124	0.8987	83.3	0.4818
a1_full	both	p0.5_p99.5	elekta	CE_P4_V_01	0.5276	0.9006	77.8	0.1079
a1_full	both	p1_p99	elekta	CE_P4_V_01	0.5233	0.9034	77.8	0.0850
a1_full	both	p2_p98	elekta	CE_P4_V_01	0.5186	0.9048	77.8	0.0808
a1_full	both	p5_p95	elekta	CE_P4_V_01	0.5080	0.9060	78.9	0.0867
a1_full	both	mu_air_water	elekta	CE_P4_V_01	0.4942	0.9353	77.8	0.0628
a1_full	both	minmax	elekta	CE_P5_V_01	0.4459	0.9288	92.2	0.3998
a1_full	both	p0.5_p99.5	elekta	CE_P5_V_01	0.5738	0.8321	87.8	0.2712
a1_full	both	p1_p99	elekta	CE_P5_V_01	0.5798	0.8259	87.8	0.2241
a1_full	both	p2_p98	elekta	CE_P5_V_01	0.5822	0.8229	87.8	0.1956
a1_full	both	p5_p95	elekta	CE_P5_V_01	0.5678	0.8306	86.7	0.1834
a1_full	both	mu_air_water	elekta	CE_P5_V_01	0.5902	0.8226	88.9	0.1820
