===== E4 Both =====
[crb_both_mse_pop_e4] device=cuda:1 | UNetCRBBoth params=1.59M trainable=1.09M | loss=lung-masked MSE | CRB=encoder+decoder + frozen anatomy side-branch | seed=20260819
[crb_both_mse_pop_e4] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 5760 val 320 | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 62 | train MSE: 0.031749 | val MSE: 0.040634 | total time: 1 hours 52 minutes
Epoch: 63 | train MSE: 0.031461 | val MSE: 0.045904 | total time: 1 hours 54 minutes
Epoch: 64 | train MSE: 0.031411 | val MSE: 0.040226 | total time: 1 hours 56 minutes
Epoch: 65 | train MSE: 0.030182 | val MSE: 0.048820 | total time: 1 hours 57 minutes
Epoch: 66 | train MSE: 0.030579 | val MSE: 0.041621 | total time: 1 hours 59 minutes
Epoch: 67 | train MSE: 0.030320 | val MSE: 0.045694 | total time: 2 hours 1 minutes
Epoch: 68 | train MSE: 0.029675 | val MSE: 0.042351 | total time: 2 hours 3 minutes
Epoch: 69 | train MSE: 0.029406 | val MSE: 0.039543 | total time: 2 hours 5 minutes
Epoch: 70 | train MSE: 0.029031 | val MSE: 0.047885 | total time: 2 hours 6 minutes
Epoch: 71 | train MSE: 0.029892 | val MSE: 0.046313 | total time: 2 hours 8 minutes
Epoch: 72 | train MSE: 0.028642 | val MSE: 0.040099 | total time: 2 hours 10 minutes
Epoch: 73 | train MSE: 0.029069 | val MSE: 0.040218 | total time: 2 hours 12 minutes
Epoch: 74 | train MSE: 0.028501 | val MSE: 0.043588 | total time: 2 hours 13 minutes
Epoch: 75 | train MSE: 0.028142 | val MSE: 0.043011 | total time: 2 hours 15 minutes
Epoch: 76 | train MSE: 0.027510 | val MSE: 0.042743 | total time: 2 hours 17 minutes
Epoch: 77 | train MSE: 0.027764 | val MSE: 0.038037 | total time: 2 hours 18 minutes
Epoch: 78 | train MSE: 0.026799 | val MSE: 0.038121 | total time: 2 hours 20 minutes
Epoch: 79 | train MSE: 0.027041 | val MSE: 0.039745 | total time: 2 hours 22 minutes
Epoch: 80 | train MSE: 0.026710 | val MSE: 0.042142 | total time: 2 hours 24 minutes
Epoch: 81 | train MSE: 0.026392 | val MSE: 0.040458 | total time: 2 hours 25 minutes
Epoch: 82 | train MSE: 0.026593 | val MSE: 0.038483 | total time: 2 hours 27 minutes
Epoch: 83 | train MSE: 0.026335 | val MSE: 0.039132 | total time: 2 hours 29 minutes
Epoch: 84 | train MSE: 0.026618 | val MSE: 0.038851 | total time: 2 hours 31 minutes
Epoch: 85 | train MSE: 0.025550 | val MSE: 0.042684 | total time: 2 hours 32 minutes
Epoch: 86 | train MSE: 0.025311 | val MSE: 0.038195 | total time: 2 hours 34 minutes
Epoch: 87 | train MSE: 0.025387 | val MSE: 0.035512 | total time: 2 hours 36 minutes
Epoch: 88 | train MSE: 0.025214 | val MSE: 0.035644 | total time: 2 hours 38 minutes
Epoch: 89 | train MSE: 0.025144 | val MSE: 0.038440 | total time: 2 hours 39 minutes
Epoch: 90 | train MSE: 0.024922 | val MSE: 0.039045 | total time: 2 hours 41 minutes
Epoch: 91 | train MSE: 0.024206 | val MSE: 0.035642 | total time: 2 hours 43 minutes
Epoch: 92 | train MSE: 0.024460 | val MSE: 0.035099 | total time: 2 hours 44 minutes
Epoch: 93 | train MSE: 0.024182 | val MSE: 0.035744 | total time: 2 hours 46 minutes
Epoch: 94 | train MSE: 0.024260 | val MSE: 0.038475 | total time: 2 hours 48 minutes
Epoch: 95 | train MSE: 0.024086 | val MSE: 0.039444 | total time: 2 hours 50 minutes
Epoch: 96 | train MSE: 0.024050 | val MSE: 0.034499 | total time: 2 hours 51 minutes
Epoch: 97 | train MSE: 0.023644 | val MSE: 0.037523 | total time: 2 hours 53 minutes
Epoch: 98 | train MSE: 0.023400 | val MSE: 0.036128 | total time: 2 hours 55 minutes
Epoch: 99 | train MSE: 0.023156 | val MSE: 0.036002 | total time: 2 hours 57 minutes
Epoch: 100 | train MSE: 0.023298 | val MSE: 0.034849 | total time: 2 hours 58 minutes
finished best_val_mse=0.034499
