pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.015520	0.000000	1551990.117878	nan	nan
01_to_02	pair	0.778982	0.759229	1.026017	0.1670936495065689	0.2529164254665375
01_to_03	pair	1.695231	1.507534	1.124506	0.08551602810621262	0.34963467717170715
01_to_04	pair	2.520444	1.914882	1.316239	-0.03315805643796921	0.49133411049842834
01_to_05	pair	3.038568	2.148292	1.414411	-0.06394561380147934	0.5527098178863525
01_to_06	pair	3.297185	2.193208	1.503362	-0.09039740264415741	0.6044530868530273
01_to_07	pair	2.864632	1.916187	1.494965	-0.11905857175588608	0.5820951461791992
01_to_08	pair	2.011140	1.394589	1.442102	-0.14818572998046875	0.5113550424575806
01_to_09	pair	1.190724	0.734614	1.620884	-0.22547265887260437	0.6367084980010986
01_to_10	pair	0.367651	0.243599	1.509244	-0.22961504757404327	0.6487375497817993
02_to_01	pair	0.757773	0.708290	1.069863	0.07260354608297348	0.26401761174201965
02_to_02	identity	0.014592	0.000000	1459224.708378	nan	nan
02_to_03	pair	0.951125	0.767162	1.239796	-0.021959807723760605	0.37324613332748413
02_to_04	pair	1.711755	1.154046	1.483265	-0.1301431804895401	0.5506865978240967
02_to_05	pair	2.256608	1.418059	1.591336	-0.1407018005847931	0.6320744752883911
02_to_06	pair	2.571371	1.501765	1.712232	-0.15426024794578552	0.7327446937561035
02_to_07	pair	2.165529	1.265413	1.711322	-0.23921659588813782	0.7046527862548828
02_to_08	pair	1.452300	0.855304	1.697992	-0.32860374450683594	0.7379092574119568
02_to_09	pair	0.768523	0.554591	1.385746	-0.14067323505878448	0.6156969666481018
02_to_10	pair	0.697333	0.696605	1.001045	0.24413670599460602	0.24042905867099762
03_to_01	pair	1.645938	1.417146	1.161446	0.036362506449222565	0.3353542387485504
03_to_02	pair	0.878963	0.733452	1.198392	-0.1072528287768364	0.2963564991950989
03_to_03	identity	0.015432	0.000000	1543195.918202	nan	nan
03_to_04	pair	0.694692	0.454997	1.526804	-0.21831420063972473	0.5707265734672546
03_to_05	pair	1.081352	0.635617	1.701264	-0.2537466287612915	0.6812288761138916
03_to_06	pair	1.272107	0.736802	1.726526	-0.28030404448509216	0.718198835849762
03_to_07	pair	1.292658	0.602932	2.143953	-0.3532896339893341	1.0626802444458008
03_to_08	pair	0.937676	0.595277	1.575193	-0.0924292504787445	0.7650608420372009
03_to_09	pair	0.938828	0.933473	1.005737	0.3645670413970947	0.3020094931125641
03_to_10	pair	1.410082	1.387854	1.016016	0.1806565225124359	0.21560128033161163
04_to_01	pair	2.272101	1.757933	1.292485	-0.058628279715776443	0.4219558537006378
04_to_02	pair	1.533531	1.117767	1.371960	-0.177235409617424	0.435956746339798
04_to_03	pair	0.622830	0.430736	1.445968	-0.3271888196468353	0.4995717704296112
04_to_04	identity	0.022055	0.000000	2205476.164818	nan	nan
04_to_05	pair	0.450922	0.284151	1.586909	-0.13552796840667725	0.6522927284240723
04_to_06	pair	0.719807	0.343432	2.095922	-0.2569552958011627	0.9639742970466614
04_to_07	pair	0.676378	0.314625	2.149787	-0.13741447031497955	1.2180447578430176
04_to_08	pair	0.732692	0.620997	1.179862	0.29255059361457825	0.4859197735786438
04_to_09	pair	1.229754	1.170016	1.051057	0.22942516207695007	0.3377133905887604
04_to_10	pair	1.929218	1.667818	1.156732	0.050106290727853775	0.35791492462158203
05_to_01	pair	2.612628	1.939337	1.347176	-0.0683271735906601	0.454239159822464
05_to_02	pair	1.967595	1.374538	1.431459	-0.18290892243385315	0.47076892852783203
05_to_03	pair	0.960769	0.617180	1.556707	-0.2671150267124176	0.5697304010391235
05_to_04	pair	0.385175	0.256714	1.500404	-0.16114236414432526	0.6571632027626038
05_to_05	identity	0.020759	0.000000	2075879.089534	nan	nan
05_to_06	pair	0.328404	0.174373	1.883339	-0.1628001481294632	0.936164379119873
05_to_07	pair	0.462518	0.293269	1.577112	0.1360323280096054	0.8505867719650269
05_to_08	pair	0.877181	0.756909	1.158899	0.19260062277317047	0.4284258484840393
05_to_09	pair	1.532758	1.353130	1.132751	0.1088377982378006	0.3647296726703644
05_to_10	pair	2.315749	1.846185	1.254343	-0.0016844590427353978	0.430700421333313
06_to_01	pair	2.773402	1.981551	1.399612	-0.09161508828401566	0.479777991771698
06_to_02	pair	2.148782	1.446801	1.485195	-0.20565293729305267	0.49699532985687256
06_to_03	pair	1.140715	0.710533	1.605435	-0.27232372760772705	0.6310155987739563
06_to_04	pair	0.552937	0.317153	1.743440	-0.21693485975265503	0.8653120398521423
06_to_05	pair	0.264049	0.176437	1.496561	-0.15501728653907776	0.6756932735443115
06_to_06	identity	0.026575	0.000000	2657476.998866	nan	nan
06_to_07	pair	0.370304	0.289389	1.279607	0.15043947100639343	0.4847492575645447
06_to_08	pair	0.948475	0.764632	1.240434	0.10312327742576599	0.4601176381111145
06_to_09	pair	1.634135	1.384286	1.180489	0.06854371726512909	0.38040754199028015
06_to_10	pair	2.471973	1.883605	1.312362	-0.03683264181017876	0.45110124349594116
07_to_01	pair	2.572695	1.825172	1.409563	-0.1458541750907898	0.468088299036026
07_to_02	pair	1.898566	1.263763	1.502312	-0.30024904012680054	0.5147362947463989
07_to_03	pair	1.034407	0.575902	1.796150	-0.29918304085731506	0.8420015573501587
07_to_04	pair	0.528015	0.294472	1.793094	0.061757393181324005	1.0886842012405396
07_to_05	pair	0.442703	0.324354	1.364875	0.21413028240203857	0.6565052270889282
07_to_06	pair	0.381579	0.324711	1.175132	0.21233388781547546	0.40679025650024414
07_to_07	identity	0.036463	0.000000	3646274.283528	nan	nan
07_to_08	pair	0.657677	0.520397	1.263800	-0.10877887904644012	0.3703928291797638
07_to_09	pair	1.415285	1.127299	1.255466	-0.03548874333500862	0.3949280083179474
07_to_10	pair	2.244415	1.674435	1.340401	-0.09978848695755005	0.4341500401496887
08_to_01	pair	1.929375	1.332599	1.447829	-0.21855126321315765	0.46428993344306946
08_to_02	pair	1.320670	0.835580	1.580542	-0.32248634099960327	0.6528112888336182
08_to_03	pair	0.852569	0.603450	1.412825	0.08483713865280151	0.7152584195137024
08_to_04	pair	0.707952	0.648474	1.091719	0.3509746789932251	0.44931560754776
08_to_05	pair	0.882377	0.777473	1.134929	0.2408352643251419	0.4290892779827118
08_to_06	pair	0.975269	0.804975	1.211552	0.10300783067941666	0.40902361273765564
08_to_07	pair	0.620545	0.527915	1.175463	-0.06235938519239426	0.3079192638397217
08_to_08	identity	0.031982	0.000000	3198234.364390	nan	nan
08_to_09	pair	0.840232	0.617439	1.360833	-0.16968296468257904	0.4248630106449127
08_to_10	pair	1.561688	1.164246	1.341372	-0.17642439901828766	0.3753868639469147
09_to_01	pair	1.010430	0.737823	1.369475	-0.22166019678115845	0.40489035844802856
09_to_02	pair	0.733058	0.574083	1.276920	0.12575651705265045	0.6293582916259766
09_to_03	pair	0.960905	0.976947	0.983579	0.43063434958457947	0.32768264412879944
09_to_04	pair	1.303464	1.215438	1.072423	0.22890105843544006	0.3544546067714691
09_to_05	pair	1.626253	1.420780	1.144620	0.12448841333389282	0.3799436688423157
09_to_06	pair	1.672544	1.436105	1.164639	0.07225055247545242	0.3560650944709778
09_to_07	pair	1.435648	1.164576	1.232765	-0.05649247393012047	0.37230774760246277
09_to_08	pair	0.801526	0.631314	1.269616	-0.11770068109035492	0.3634531497955322
09_to_09	identity	0.024583	0.000000	2458250.708878	nan	nan
09_to_10	pair	0.780845	0.513644	1.520206	-0.2180090993642807	0.498378187417984
10_to_01	pair	0.312155	0.240849	1.296061	-0.23671145737171173	0.4387282431125641
10_to_02	pair	0.724389	0.733723	0.987279	0.31044432520866394	0.30072957277297974
10_to_03	pair	1.492775	1.450115	1.029419	0.2104623019695282	0.307656466960907
10_to_04	pair	2.188109	1.794148	1.219581	0.06650340557098389	0.46484169363975525
10_to_05	pair	2.735671	2.027448	1.349318	0.002348541747778654	0.5383747220039368
10_to_06	pair	2.849398	2.087041	1.365281	-0.018279775977134705	0.5173830986022949
10_to_07	pair	2.409558	1.793024	1.343852	-0.08949257433414459	0.4435844421386719
10_to_08	pair	1.755374	1.222729	1.435620	-0.1128849983215332	0.49495330452919006
10_to_09	pair	0.817837	0.544993	1.500637	-0.28537309169769287	0.4815521538257599
