===== E5 Both =====
[crb_both_mse_pop_e5] device=cuda:0 | UNetCRBBoth params=1.59M trainable=1.09M | loss=lung-masked MSE | CRB=encoder+decoder + frozen anatomy side-branch | seed=20260817
[crb_both_mse_pop_e5] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 8640 val 480 | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 62 | train MSE: 0.017415 | val MSE: 0.032502 | total time: 2 hours 33 minutes
Epoch: 63 | train MSE: 0.016510 | val MSE: 0.031145 | total time: 2 hours 35 minutes
Epoch: 64 | train MSE: 0.016395 | val MSE: 0.030117 | total time: 2 hours 38 minutes
Epoch: 65 | train MSE: 0.016701 | val MSE: 0.032322 | total time: 2 hours 40 minutes
Epoch: 66 | train MSE: 0.016091 | val MSE: 0.032222 | total time: 2 hours 42 minutes
Epoch: 67 | train MSE: 0.016067 | val MSE: 0.032843 | total time: 2 hours 45 minutes
Epoch: 68 | train MSE: 0.015890 | val MSE: 0.031973 | total time: 2 hours 47 minutes
Epoch: 69 | train MSE: 0.015820 | val MSE: 0.031543 | total time: 2 hours 50 minutes
Epoch: 70 | train MSE: 0.015660 | val MSE: 0.029982 | total time: 2 hours 52 minutes
Epoch: 71 | train MSE: 0.015086 | val MSE: 0.028778 | total time: 2 hours 55 minutes
Epoch: 72 | train MSE: 0.015438 | val MSE: 0.031191 | total time: 2 hours 57 minutes
Epoch: 73 | train MSE: 0.015216 | val MSE: 0.032363 | total time: 3 hours 0 minutes
Epoch: 74 | train MSE: 0.014866 | val MSE: 0.030638 | total time: 3 hours 2 minutes
Epoch: 75 | train MSE: 0.015110 | val MSE: 0.030866 | total time: 3 hours 5 minutes
Epoch: 76 | train MSE: 0.014662 | val MSE: 0.038793 | total time: 3 hours 7 minutes
Epoch: 77 | train MSE: 0.014718 | val MSE: 0.027946 | total time: 3 hours 10 minutes
Epoch: 78 | train MSE: 0.014932 | val MSE: 0.034095 | total time: 3 hours 12 minutes
Epoch: 79 | train MSE: 0.014550 | val MSE: 0.034392 | total time: 3 hours 15 minutes
Epoch: 80 | train MSE: 0.014400 | val MSE: 0.031623 | total time: 3 hours 17 minutes
Epoch: 81 | train MSE: 0.014627 | val MSE: 0.028953 | total time: 3 hours 20 minutes
Epoch: 82 | train MSE: 0.014112 | val MSE: 0.027888 | total time: 3 hours 22 minutes
Epoch: 83 | train MSE: 0.014098 | val MSE: 0.028994 | total time: 3 hours 24 minutes
Epoch: 84 | train MSE: 0.013739 | val MSE: 0.026919 | total time: 3 hours 27 minutes
Epoch: 85 | train MSE: 0.013784 | val MSE: 0.027410 | total time: 3 hours 29 minutes
Epoch: 86 | train MSE: 0.013694 | val MSE: 0.027910 | total time: 3 hours 32 minutes
Epoch: 87 | train MSE: 0.013624 | val MSE: 0.029752 | total time: 3 hours 34 minutes
Epoch: 88 | train MSE: 0.013651 | val MSE: 0.029481 | total time: 3 hours 37 minutes
Epoch: 89 | train MSE: 0.013747 | val MSE: 0.027320 | total time: 3 hours 39 minutes
Epoch: 90 | train MSE: 0.013348 | val MSE: 0.026834 | total time: 3 hours 42 minutes
Epoch: 91 | train MSE: 0.013293 | val MSE: 0.026569 | total time: 3 hours 44 minutes
Epoch: 92 | train MSE: 0.013338 | val MSE: 0.027637 | total time: 3 hours 47 minutes
Epoch: 93 | train MSE: 0.013132 | val MSE: 0.028456 | total time: 3 hours 49 minutes
Epoch: 94 | train MSE: 0.013154 | val MSE: 0.027965 | total time: 3 hours 52 minutes
Epoch: 95 | train MSE: 0.013024 | val MSE: 0.028789 | total time: 3 hours 54 minutes
Epoch: 96 | train MSE: 0.013090 | val MSE: 0.032866 | total time: 3 hours 57 minutes
Epoch: 97 | train MSE: 0.012941 | val MSE: 0.028811 | total time: 3 hours 59 minutes
Epoch: 98 | train MSE: 0.013053 | val MSE: 0.028609 | total time: 4 hours 2 minutes
Epoch: 99 | train MSE: 0.012789 | val MSE: 0.025799 | total time: 4 hours 4 minutes
Epoch: 100 | train MSE: 0.012666 | val MSE: 0.028104 | total time: 4 hours 7 minutes
finished best_val_mse=0.025799
