pair	note	L1_pred	L1_zero	cos
P04_01_to_01	identity	0.015669	0.000000	nan
P04_01_to_02	pair	0.377939	0.470332	0.871468
P04_01_to_06	pair	0.722215	1.461657	0.939985
P04_02_to_08	pair	0.329734	0.641605	0.883900
P04_05_to_09	pair	0.464330	0.824488	0.883266
P04_10_to_01	pair	0.217399	0.268071	0.601139
