[crb_enc_mse_pop_e2] device=cuda:0 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | seed=20260818
[crb_enc_mse_pop_e2] train 5760 (360 pairs × 16) | val 320 (40 pairs × 8) | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 64 | train MSE: 0.035800 | val MSE: 0.049480 | total time: 2 hours 16 minutes
Epoch: 65 | train MSE: 0.036172 | val MSE: 0.046652 | total time: 2 hours 19 minutes
Epoch: 66 | train MSE: 0.033754 | val MSE: 0.047552 | total time: 2 hours 21 minutes
Epoch: 67 | train MSE: 0.034715 | val MSE: 0.044068 | total time: 2 hours 23 minutes
Epoch: 68 | train MSE: 0.035369 | val MSE: 0.043612 | total time: 2 hours 25 minutes
Epoch: 69 | train MSE: 0.034188 | val MSE: 0.042798 | total time: 2 hours 27 minutes
Epoch: 70 | train MSE: 0.032937 | val MSE: 0.043119 | total time: 2 hours 29 minutes
Epoch: 71 | train MSE: 0.032726 | val MSE: 0.046391 | total time: 2 hours 31 minutes
Epoch: 72 | train MSE: 0.033472 | val MSE: 0.045468 | total time: 2 hours 34 minutes
Epoch: 73 | train MSE: 0.033594 | val MSE: 0.055646 | total time: 2 hours 36 minutes
Epoch: 74 | train MSE: 0.034096 | val MSE: 0.041554 | total time: 2 hours 38 minutes
Epoch: 75 | train MSE: 0.032630 | val MSE: 0.046302 | total time: 2 hours 40 minutes
Epoch: 76 | train MSE: 0.032732 | val MSE: 0.041720 | total time: 2 hours 42 minutes
Epoch: 77 | train MSE: 0.032423 | val MSE: 0.044553 | total time: 2 hours 44 minutes
Epoch: 78 | train MSE: 0.031811 | val MSE: 0.051717 | total time: 2 hours 46 minutes
Epoch: 79 | train MSE: 0.030671 | val MSE: 0.042114 | total time: 2 hours 49 minutes
Epoch: 80 | train MSE: 0.030953 | val MSE: 0.042990 | total time: 2 hours 51 minutes
Epoch: 81 | train MSE: 0.030968 | val MSE: 0.043652 | total time: 2 hours 53 minutes
Epoch: 82 | train MSE: 0.031357 | val MSE: 0.041909 | total time: 2 hours 55 minutes
Epoch: 83 | train MSE: 0.030668 | val MSE: 0.040357 | total time: 2 hours 57 minutes
Epoch: 84 | train MSE: 0.030954 | val MSE: 0.037999 | total time: 2 hours 59 minutes
Epoch: 85 | train MSE: 0.029358 | val MSE: 0.041325 | total time: 3 hours 2 minutes
Epoch: 86 | train MSE: 0.030212 | val MSE: 0.039234 | total time: 3 hours 4 minutes
Epoch: 87 | train MSE: 0.029643 | val MSE: 0.040142 | total time: 3 hours 6 minutes
Epoch: 88 | train MSE: 0.030189 | val MSE: 0.049059 | total time: 3 hours 8 minutes
Epoch: 89 | train MSE: 0.029019 | val MSE: 0.036728 | total time: 3 hours 10 minutes
Epoch: 90 | train MSE: 0.029735 | val MSE: 0.043128 | total time: 3 hours 12 minutes
Epoch: 91 | train MSE: 0.028783 | val MSE: 0.046657 | total time: 3 hours 15 minutes
Epoch: 92 | train MSE: 0.029318 | val MSE: 0.037625 | total time: 3 hours 17 minutes
Epoch: 93 | train MSE: 0.028964 | val MSE: 0.041342 | total time: 3 hours 19 minutes
Epoch: 94 | train MSE: 0.028665 | val MSE: 0.037085 | total time: 3 hours 21 minutes
Epoch: 95 | train MSE: 0.028637 | val MSE: 0.039333 | total time: 3 hours 22 minutes
Epoch: 96 | train MSE: 0.028650 | val MSE: 0.039371 | total time: 3 hours 24 minutes
Epoch: 97 | train MSE: 0.029602 | val MSE: 0.041171 | total time: 3 hours 26 minutes
Epoch: 98 | train MSE: 0.026901 | val MSE: 0.039004 | total time: 3 hours 28 minutes
Epoch: 99 | train MSE: 0.027433 | val MSE: 0.039938 | total time: 3 hours 30 minutes
Epoch: 100 | train MSE: 0.027258 | val MSE: 0.040207 | total time: 3 hours 32 minutes
finished best_val_mse=0.036728
