[crb_enc_mse_full_spare] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | seed=20260824
[crb_enc_mse_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 64 | train MSE: 0.029925 | val MSE: 0.042861 | total time: 3 hours 57 minutes
Epoch: 65 | train MSE: 0.030172 | val MSE: 0.040123 | total time: 4 hours 1 minutes
Epoch: 66 | train MSE: 0.028984 | val MSE: 0.040939 | total time: 4 hours 5 minutes
Epoch: 67 | train MSE: 0.028727 | val MSE: 0.037972 | total time: 4 hours 8 minutes
Epoch: 68 | train MSE: 0.028923 | val MSE: 0.044700 | total time: 4 hours 12 minutes
Epoch: 69 | train MSE: 0.028485 | val MSE: 0.038391 | total time: 4 hours 16 minutes
Epoch: 70 | train MSE: 0.028493 | val MSE: 0.039035 | total time: 4 hours 20 minutes
Epoch: 71 | train MSE: 0.028354 | val MSE: 0.035670 | total time: 4 hours 23 minutes
Epoch: 72 | train MSE: 0.028002 | val MSE: 0.038258 | total time: 4 hours 27 minutes
Epoch: 73 | train MSE: 0.027733 | val MSE: 0.035850 | total time: 4 hours 31 minutes
Epoch: 74 | train MSE: 0.027926 | val MSE: 0.038274 | total time: 4 hours 34 minutes
Epoch: 75 | train MSE: 0.027475 | val MSE: 0.034024 | total time: 4 hours 38 minutes
Epoch: 76 | train MSE: 0.027095 | val MSE: 0.035767 | total time: 4 hours 42 minutes
Epoch: 77 | train MSE: 0.027150 | val MSE: 0.035127 | total time: 4 hours 45 minutes
Epoch: 78 | train MSE: 0.027098 | val MSE: 0.040880 | total time: 4 hours 49 minutes
Epoch: 79 | train MSE: 0.026925 | val MSE: 0.037327 | total time: 4 hours 53 minutes
Epoch: 80 | train MSE: 0.026490 | val MSE: 0.038141 | total time: 4 hours 57 minutes
Epoch: 81 | train MSE: 0.026396 | val MSE: 0.035419 | total time: 5 hours 0 minutes
Epoch: 82 | train MSE: 0.026420 | val MSE: 0.035431 | total time: 5 hours 4 minutes
Epoch: 83 | train MSE: 0.025782 | val MSE: 0.037228 | total time: 5 hours 7 minutes
Epoch: 84 | train MSE: 0.026232 | val MSE: 0.047939 | total time: 5 hours 11 minutes
