pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.014990	0.000000	1498955.953866	nan	nan
01_to_02	pair	0.815422	0.788029	1.034761	-0.03313323110342026	0.17655237019062042
01_to_03	pair	1.883155	1.657860	1.135895	-0.19215159118175507	0.2749531865119934
01_to_04	pair	3.233774	2.686299	1.203803	-0.2789378762245178	0.3198012709617615
01_to_05	pair	3.997127	3.225876	1.239083	-0.2967261075973511	0.34989598393440247
01_to_06	pair	4.839446	3.919060	1.234849	-0.3435211181640625	0.3249557614326477
01_to_07	pair	4.962086	4.053387	1.224183	-0.4035678505897522	0.29058030247688293
01_to_08	pair	3.729636	2.963247	1.258632	-0.4290630519390106	0.3020329177379608
01_to_09	pair	2.067653	1.512713	1.366851	-0.42651841044425964	0.36833661794662476
01_to_10	pair	0.907681	0.694315	1.307304	-0.4639778435230255	0.32040202617645264
02_to_01	pair	0.810242	0.754466	1.073927	-0.14485332369804382	0.1932533234357834
02_to_02	identity	0.013840	0.000000	1383993.029594	nan	nan
02_to_03	pair	1.096280	0.951144	1.152590	-0.1857965588569641	0.3100336790084839
02_to_04	pair	2.445759	1.856491	1.317410	-0.32819342613220215	0.3997839391231537
02_to_05	pair	3.236115	2.368957	1.366051	-0.39023536443710327	0.4390944242477417
02_to_06	pair	4.107668	3.060158	1.342306	-0.4389966130256653	0.4000922739505768
02_to_07	pair	4.163106	3.240549	1.284692	-0.4970189034938812	0.33453795313835144
02_to_08	pair	2.950086	2.224658	1.326085	-0.514610230922699	0.3531460464000702
02_to_09	pair	1.456026	1.088547	1.337587	-0.44036367535591125	0.3993597626686096
02_to_10	pair	0.653581	0.607461	1.075922	-0.03188469260931015	0.23804312944412231
03_to_01	pair	1.829427	1.566961	1.167500	-0.14211107790470123	0.3157171905040741
03_to_02	pair	1.030495	0.895777	1.150392	-0.18196731805801392	0.30228567123413086
03_to_03	identity	0.013329	0.000000	1332878.880203	nan	nan
03_to_04	pair	1.341197	1.042741	1.286222	-0.32212305068969727	0.360386461019516
03_to_05	pair	2.170148	1.596675	1.359167	-0.4642893970012665	0.41138023138046265
03_to_06	pair	2.951419	2.294480	1.286313	-0.5129743814468384	0.34193795919418335
03_to_07	pair	3.148006	2.428555	1.296247	-0.5742252469062805	0.324275404214859
03_to_08	pair	1.961902	1.509679	1.299549	-0.5593737959861755	0.347583532333374
03_to_09	pair	1.030895	0.947078	1.088501	0.033633358776569366	0.30799904465675354
