experiment	arm	arch	norm	vendor	scan	cos	L1_over_zero	beat
G160-a0h	a0h	encoder	minmax	elekta	CE_P3_V_01	0.4173	0.9529	78.9
G160-a0h	a0h	encoder	minmax	elekta	CE_P4_V_01	0.4245	0.9477	83.3
G160-a0h	a0h	encoder	minmax	elekta	CE_P5_V_01	0.3833	0.9359	85.6
G160-a0h	a0h	encoder	mu	varian	CV_P1_V_01	0.0538	1.0860	20.0
G160-a0h	a0h	encoder	mu	varian	CV_P2_V_01	0.1423	1.0490	23.3
G160-a0h	a0h	encoder	mu	varian	CV_P3_V_01	0.4040	0.9348	78.9
G160-a0h	a0h	encoder	mu	varian	CV_P4_V_01	0.2579	0.9667	67.8
G160-a0h	a0h	encoder	mu	varian	CV_P5_V_01	0.5285	0.8469	97.8
G160-a0h	a0h	encoder	mu	elekta	CE_P1_V_01	0.5717	0.8486	100.0
G160-a0h	a0h	encoder	mu	elekta	CE_P2_V_01	0.4546	0.9414	73.3
G160-a0h	a0h	encoder	mu	elekta	CE_P3_V_01	0.4847	0.9028	82.2
G160-a0h	a0h	encoder	mu	elekta	CE_P4_V_01	0.3824	0.9719	76.7
G160-a0h	a0h	encoder	mu	elekta	CE_P5_V_01	0.5525	0.8471	81.1
G160-a0h	a0h	decoder	minmax	varian	CV_P1_V_01	0.3686	1.1409	32.2
G160-a0h	a0h	decoder	minmax	varian	CV_P2_V_01	0.5304	0.9114	86.7
G160-a0h	a0h	decoder	minmax	varian	CV_P3_V_01	0.5624	0.9048	73.3
G160-a0h	a0h	decoder	minmax	varian	CV_P4_V_01	0.6654	0.7719	96.7
G160-a0h	a0h	decoder	minmax	varian	CV_P5_V_01	0.3863	0.9251	90.0
G160-a0h	a0h	decoder	minmax	elekta	CE_P1_V_01	-0.2271	1.0242	7.8
G160-a0h	a0h	decoder	minmax	elekta	CE_P2_V_01	-0.1633	1.0200	14.4
G160-a0h	a0h	decoder	minmax	elekta	CE_P3_V_01	0.0930	0.9992	53.3
G160-a0h	a0h	decoder	minmax	elekta	CE_P4_V_01	0.1795	0.9909	67.8
G160-a0h	a0h	decoder	minmax	elekta	CE_P5_V_01	0.2855	0.9653	81.1
G160-a0h	a0h	decoder	mu	varian	CV_P1_V_01	0.0008	1.0841	36.7
G160-a0h	a0h	decoder	mu	varian	CV_P2_V_01	0.3229	0.9986	68.9
G160-a0h	a0h	decoder	mu	varian	CV_P3_V_01	0.3601	0.9595	67.8
G160-a0h	a0h	decoder	mu	varian	CV_P4_V_01	0.4485	0.9159	88.9
G160-a0h	a0h	decoder	mu	varian	CV_P5_V_01	0.5732	0.8519	100.0
G160-a0h	a0h	decoder	mu	elekta	CE_P1_V_01	0.4664	0.9073	92.2
G160-a0h	a0h	decoder	mu	elekta	CE_P2_V_01	0.4437	0.9125	80.0
G160-a0h	a0h	decoder	mu	elekta	CE_P3_V_01	0.4630	0.9026	85.6
G160-a0h	a0h	decoder	mu	elekta	CE_P4_V_01	0.3820	0.9469	74.4
G160-a0h	a0h	decoder	mu	elekta	CE_P5_V_01	0.5161	0.8648	80.0
