[crb_both_mse_iso_g160_fov_full] device=cuda:0 | UNetCRBBoth params=1.08M | FOV aug ¼×4 train | val=normal | G160-A1 both · iso 2mm · linear · FOV aug · full P1–P9 | seed=20260824
[crb_both_mse_iso_g160_fov_full] train 12960 | val 720 | patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9'] hold-out=[]
Epoch: 63 | train MSE: 0.031155 | val MSE: 0.098590 | total time: 7 hours 34 minutes
Epoch: 64 | train MSE: 0.030597 | val MSE: 0.099506 | total time: 7 hours 41 minutes
Epoch: 65 | train MSE: 0.030661 | val MSE: 0.099590 | total time: 7 hours 49 minutes
Epoch: 66 | train MSE: 0.029900 | val MSE: 0.100009 | total time: 7 hours 56 minutes
Epoch: 67 | train MSE: 0.030363 | val MSE: 0.103575 | total time: 8 hours 3 minutes
Epoch: 68 | train MSE: 0.029592 | val MSE: 0.100997 | total time: 8 hours 10 minutes
Epoch: 69 | train MSE: 0.029688 | val MSE: 0.095565 | total time: 8 hours 17 minutes
Epoch: 70 | train MSE: 0.029648 | val MSE: 0.108621 | total time: 8 hours 25 minutes
Epoch: 71 | train MSE: 0.029346 | val MSE: 0.095688 | total time: 8 hours 32 minutes
Epoch: 72 | train MSE: 0.029162 | val MSE: 0.094609 | total time: 8 hours 39 minutes
Epoch: 73 | train MSE: 0.028575 | val MSE: 0.092953 | total time: 8 hours 46 minutes
Epoch: 74 | train MSE: 0.028847 | val MSE: 0.098173 | total time: 8 hours 54 minutes
Epoch: 75 | train MSE: 0.028958 | val MSE: 0.098613 | total time: 9 hours 1 minutes
Epoch: 76 | train MSE: 0.028516 | val MSE: 0.089489 | total time: 9 hours 8 minutes
Epoch: 77 | train MSE: 0.028267 | val MSE: 0.091526 | total time: 9 hours 15 minutes
Epoch: 78 | train MSE: 0.027951 | val MSE: 0.099131 | total time: 9 hours 22 minutes
Epoch: 79 | train MSE: 0.027742 | val MSE: 0.106087 | total time: 9 hours 30 minutes
Epoch: 80 | train MSE: 0.027814 | val MSE: 0.104546 | total time: 9 hours 37 minutes
Epoch: 81 | train MSE: 0.027096 | val MSE: 0.100716 | total time: 9 hours 44 minutes
Epoch: 82 | train MSE: 0.027352 | val MSE: 0.094515 | total time: 9 hours 51 minutes
Epoch: 83 | train MSE: 0.027149 | val MSE: 0.095407 | total time: 9 hours 58 minutes
Epoch: 84 | train MSE: 0.027005 | val MSE: 0.101032 | total time: 10 hours 6 minutes
Epoch: 85 | train MSE: 0.026771 | val MSE: 0.102161 | total time: 10 hours 13 minutes
Epoch: 86 | train MSE: 0.027000 | val MSE: 0.095950 | total time: 10 hours 20 minutes
Epoch: 87 | train MSE: 0.026611 | val MSE: 0.101899 | total time: 10 hours 27 minutes
Epoch: 88 | train MSE: 0.026347 | val MSE: 0.106266 | total time: 10 hours 34 minutes
Epoch: 89 | train MSE: 0.026272 | val MSE: 0.091026 | total time: 10 hours 42 minutes
Epoch: 90 | train MSE: 0.025961 | val MSE: 0.094167 | total time: 10 hours 49 minutes
Epoch: 91 | train MSE: 0.026247 | val MSE: 0.099811 | total time: 10 hours 56 minutes
Epoch: 92 | train MSE: 0.026039 | val MSE: 0.097539 | total time: 11 hours 3 minutes
Epoch: 93 | train MSE: 0.025772 | val MSE: 0.107990 | total time: 11 hours 11 minutes
Epoch: 94 | train MSE: 0.025856 | val MSE: 0.107887 | total time: 11 hours 17 minutes
Epoch: 95 | train MSE: 0.025508 | val MSE: 0.108657 | total time: 11 hours 23 minutes
Epoch: 96 | train MSE: 0.025423 | val MSE: 0.100721 | total time: 11 hours 29 minutes
Epoch: 97 | train MSE: 0.026127 | val MSE: 0.110612 | total time: 11 hours 35 minutes
Epoch: 98 | train MSE: 0.025002 | val MSE: 0.104649 | total time: 11 hours 42 minutes
Epoch: 99 | train MSE: 0.024919 | val MSE: 0.092008 | total time: 11 hours 48 minutes
Epoch: 100 | train MSE: 0.024971 | val MSE: 0.104835 | total time: 11 hours 53 minutes
finished best_val_mse=0.089489
