======== G160-A1 encoder ========
[crb_enc_mse_iso_g160_fov_full] device=cuda:0 | UNetCRB params=1.06M | FOV aug ¼×4 train | val=normal | G160-A1 encoder · iso 2mm · linear · FOV aug · full P1–P9 | seed=20260824
[crb_enc_mse_iso_g160_fov_full] train 12960 | val 720 | patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9'] hold-out=[]
Epoch: 63 | train MSE: 0.055157 | val MSE: 0.102381 | total time: 7 hours 20 minutes
Epoch: 64 | train MSE: 0.052992 | val MSE: 0.105461 | total time: 7 hours 27 minutes
Epoch: 65 | train MSE: 0.051919 | val MSE: 0.105161 | total time: 7 hours 34 minutes
Epoch: 66 | train MSE: 0.050895 | val MSE: 0.107862 | total time: 7 hours 41 minutes
Epoch: 67 | train MSE: 0.051725 | val MSE: 0.095719 | total time: 7 hours 48 minutes
Epoch: 68 | train MSE: 0.050594 | val MSE: 0.106973 | total time: 7 hours 55 minutes
Epoch: 69 | train MSE: 0.050044 | val MSE: 0.104108 | total time: 8 hours 2 minutes
Epoch: 70 | train MSE: 0.050432 | val MSE: 0.099529 | total time: 8 hours 9 minutes
Epoch: 71 | train MSE: 0.050507 | val MSE: 0.094594 | total time: 8 hours 16 minutes
Epoch: 72 | train MSE: 0.049198 | val MSE: 0.098930 | total time: 8 hours 23 minutes
Epoch: 73 | train MSE: 0.049480 | val MSE: 0.096454 | total time: 8 hours 31 minutes
Epoch: 74 | train MSE: 0.048200 | val MSE: 0.098520 | total time: 8 hours 38 minutes
Epoch: 75 | train MSE: 0.048920 | val MSE: 0.102581 | total time: 8 hours 45 minutes
Epoch: 76 | train MSE: 0.049049 | val MSE: 0.101114 | total time: 8 hours 52 minutes
Epoch: 77 | train MSE: 0.048578 | val MSE: 0.098837 | total time: 8 hours 59 minutes
Epoch: 78 | train MSE: 0.046876 | val MSE: 0.113314 | total time: 9 hours 6 minutes
Epoch: 79 | train MSE: 0.047058 | val MSE: 0.099991 | total time: 9 hours 13 minutes
Epoch: 80 | train MSE: 0.046602 | val MSE: 0.106745 | total time: 9 hours 20 minutes
Epoch: 81 | train MSE: 0.046511 | val MSE: 0.099018 | total time: 9 hours 27 minutes
Epoch: 82 | train MSE: 0.046289 | val MSE: 0.106676 | total time: 9 hours 34 minutes
Epoch: 83 | train MSE: 0.046334 | val MSE: 0.094621 | total time: 9 hours 41 minutes
Epoch: 84 | train MSE: 0.046083 | val MSE: 0.100447 | total time: 9 hours 48 minutes
Epoch: 85 | train MSE: 0.045674 | val MSE: 0.096872 | total time: 9 hours 55 minutes
Epoch: 86 | train MSE: 0.046227 | val MSE: 0.098118 | total time: 10 hours 2 minutes
Epoch: 87 | train MSE: 0.045298 | val MSE: 0.091603 | total time: 10 hours 10 minutes
Epoch: 88 | train MSE: 0.045888 | val MSE: 0.096429 | total time: 10 hours 17 minutes
Epoch: 89 | train MSE: 0.045505 | val MSE: 0.102584 | total time: 10 hours 24 minutes
Epoch: 90 | train MSE: 0.044396 | val MSE: 0.099650 | total time: 10 hours 31 minutes
Epoch: 91 | train MSE: 0.044830 | val MSE: 0.103890 | total time: 10 hours 38 minutes
Epoch: 92 | train MSE: 0.043930 | val MSE: 0.097659 | total time: 10 hours 45 minutes
Epoch: 93 | train MSE: 0.044316 | val MSE: 0.106171 | total time: 10 hours 52 minutes
Epoch: 94 | train MSE: 0.043795 | val MSE: 0.090243 | total time: 10 hours 59 minutes
Epoch: 95 | train MSE: 0.043636 | val MSE: 0.089537 | total time: 11 hours 6 minutes
Epoch: 96 | train MSE: 0.043302 | val MSE: 0.094904 | total time: 11 hours 13 minutes
Epoch: 97 | train MSE: 0.044073 | val MSE: 0.096628 | total time: 11 hours 20 minutes
Epoch: 98 | train MSE: 0.042197 | val MSE: 0.098445 | total time: 11 hours 27 minutes
Epoch: 99 | train MSE: 0.042150 | val MSE: 0.095222 | total time: 11 hours 34 minutes
Epoch: 100 | train MSE: 0.042245 | val MSE: 0.088401 | total time: 11 hours 41 minutes
finished best_val_mse=0.088401
