[crb_dec_mse_iso_g160_fov_full] device=cuda:0 | UNetCRBDecoder params=1.07M | FOV aug ¼×4 train | val=normal | G160-A1 decoder · iso 2mm · linear · FOV aug · full P1–P9 | seed=20260824
[crb_dec_mse_iso_g160_fov_full] train 12960 | val 720 | patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9'] hold-out=[]
Epoch: 63 | train MSE: 0.027141 | val MSE: 0.068540 | total time: 7 hours 30 minutes
Epoch: 64 | train MSE: 0.026754 | val MSE: 0.067776 | total time: 7 hours 37 minutes
Epoch: 65 | train MSE: 0.026489 | val MSE: 0.073413 | total time: 7 hours 44 minutes
Epoch: 66 | train MSE: 0.026056 | val MSE: 0.074806 | total time: 7 hours 51 minutes
Epoch: 67 | train MSE: 0.026357 | val MSE: 0.069493 | total time: 7 hours 58 minutes
Epoch: 68 | train MSE: 0.025826 | val MSE: 0.074815 | total time: 8 hours 5 minutes
Epoch: 69 | train MSE: 0.025870 | val MSE: 0.071136 | total time: 8 hours 12 minutes
Epoch: 70 | train MSE: 0.025674 | val MSE: 0.069319 | total time: 8 hours 20 minutes
Epoch: 71 | train MSE: 0.025689 | val MSE: 0.066328 | total time: 8 hours 27 minutes
Epoch: 72 | train MSE: 0.025177 | val MSE: 0.065255 | total time: 8 hours 34 minutes
Epoch: 73 | train MSE: 0.025142 | val MSE: 0.067681 | total time: 8 hours 41 minutes
Epoch: 74 | train MSE: 0.024923 | val MSE: 0.064405 | total time: 8 hours 48 minutes
Epoch: 75 | train MSE: 0.024684 | val MSE: 0.068128 | total time: 8 hours 55 minutes
Epoch: 76 | train MSE: 0.025180 | val MSE: 0.062527 | total time: 9 hours 2 minutes
Epoch: 77 | train MSE: 0.024836 | val MSE: 0.065544 | total time: 9 hours 10 minutes
Epoch: 78 | train MSE: 0.024367 | val MSE: 0.071454 | total time: 9 hours 17 minutes
Epoch: 79 | train MSE: 0.024343 | val MSE: 0.069797 | total time: 9 hours 24 minutes
Epoch: 80 | train MSE: 0.024075 | val MSE: 0.068754 | total time: 9 hours 31 minutes
Epoch: 81 | train MSE: 0.023954 | val MSE: 0.066816 | total time: 9 hours 38 minutes
Epoch: 82 | train MSE: 0.023742 | val MSE: 0.063960 | total time: 9 hours 45 minutes
Epoch: 83 | train MSE: 0.023641 | val MSE: 0.062869 | total time: 9 hours 52 minutes
Epoch: 84 | train MSE: 0.023714 | val MSE: 0.060382 | total time: 9 hours 59 minutes
Epoch: 85 | train MSE: 0.023495 | val MSE: 0.063635 | total time: 10 hours 7 minutes
Epoch: 86 | train MSE: 0.023697 | val MSE: 0.064325 | total time: 10 hours 14 minutes
Epoch: 87 | train MSE: 0.023130 | val MSE: 0.065624 | total time: 10 hours 21 minutes
Epoch: 88 | train MSE: 0.023340 | val MSE: 0.067101 | total time: 10 hours 28 minutes
