=== E2 encoder start Tue Aug 25 11:27:28 AM AEST 2026 ===
[crb_enc_mse_cyclic_full_spare] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_enc_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 62 | train MSE: 0.028945 | val MSE: 0.038999 | total time: 4 hours 28 minutes
Epoch: 63 | train MSE: 0.029022 | val MSE: 0.039602 | total time: 4 hours 32 minutes
Epoch: 64 | train MSE: 0.028921 | val MSE: 0.038257 | total time: 4 hours 37 minutes
Epoch: 65 | train MSE: 0.029563 | val MSE: 0.040980 | total time: 4 hours 41 minutes
Epoch: 66 | train MSE: 0.028020 | val MSE: 0.039770 | total time: 4 hours 45 minutes
Epoch: 67 | train MSE: 0.027885 | val MSE: 0.035466 | total time: 4 hours 50 minutes
Epoch: 68 | train MSE: 0.028358 | val MSE: 0.051230 | total time: 4 hours 54 minutes
Epoch: 69 | train MSE: 0.027776 | val MSE: 0.044734 | total time: 4 hours 58 minutes
Epoch: 70 | train MSE: 0.027617 | val MSE: 0.040323 | total time: 5 hours 3 minutes
Epoch: 71 | train MSE: 0.027755 | val MSE: 0.037709 | total time: 5 hours 7 minutes
Epoch: 72 | train MSE: 0.027110 | val MSE: 0.046428 | total time: 5 hours 11 minutes
Epoch: 73 | train MSE: 0.027140 | val MSE: 0.035766 | total time: 5 hours 16 minutes
Epoch: 74 | train MSE: 0.027114 | val MSE: 0.036942 | total time: 5 hours 20 minutes
Epoch: 75 | train MSE: 0.026833 | val MSE: 0.037038 | total time: 5 hours 24 minutes
Epoch: 76 | train MSE: 0.026331 | val MSE: 0.044034 | total time: 5 hours 29 minutes
Epoch: 77 | train MSE: 0.026819 | val MSE: 0.035152 | total time: 5 hours 33 minutes
Epoch: 78 | train MSE: 0.026521 | val MSE: 0.050397 | total time: 5 hours 37 minutes
Epoch: 79 | train MSE: 0.026007 | val MSE: 0.036835 | total time: 5 hours 42 minutes
Epoch: 80 | train MSE: 0.025873 | val MSE: 0.035077 | total time: 5 hours 46 minutes
Epoch: 81 | train MSE: 0.025953 | val MSE: 0.035035 | total time: 5 hours 50 minutes
