[crb_dec_mse_cyclic_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4 im_size=128
[crb_dec_mse_cyclic_full128] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder | cyclic | train 128³ | seed=20260824
[crb_dec_mse_cyclic_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 62 | train MSE: 0.029578 | val MSE: 0.031491 | total time: 0 hours 59 minutes
Epoch: 63 | train MSE: 0.031658 | val MSE: 0.033808 | total time: 1 hours 0 minutes
Epoch: 64 | train MSE: 0.028896 | val MSE: 0.031387 | total time: 1 hours 1 minutes
Epoch: 65 | train MSE: 0.030622 | val MSE: 0.052916 | total time: 1 hours 2 minutes
Epoch: 66 | train MSE: 0.030463 | val MSE: 0.031455 | total time: 1 hours 3 minutes
Epoch: 67 | train MSE: 0.028453 | val MSE: 0.039579 | total time: 1 hours 4 minutes
Epoch: 68 | train MSE: 0.032106 | val MSE: 0.033710 | total time: 1 hours 5 minutes
Epoch: 69 | train MSE: 0.027174 | val MSE: 0.035502 | total time: 1 hours 6 minutes
Epoch: 70 | train MSE: 0.030458 | val MSE: 0.036245 | total time: 1 hours 7 minutes
Epoch: 71 | train MSE: 0.028565 | val MSE: 0.030239 | total time: 1 hours 8 minutes
Epoch: 72 | train MSE: 0.029357 | val MSE: 0.034656 | total time: 1 hours 9 minutes
Epoch: 73 | train MSE: 0.029574 | val MSE: 0.028407 | total time: 1 hours 10 minutes
Epoch: 74 | train MSE: 0.026812 | val MSE: 0.039049 | total time: 1 hours 11 minutes
Epoch: 75 | train MSE: 0.029233 | val MSE: 0.028312 | total time: 1 hours 12 minutes
Epoch: 76 | train MSE: 0.025675 | val MSE: 0.033481 | total time: 1 hours 13 minutes
Epoch: 77 | train MSE: 0.027314 | val MSE: 0.030233 | total time: 1 hours 14 minutes
Epoch: 78 | train MSE: 0.025815 | val MSE: 0.038527 | total time: 1 hours 15 minutes
Epoch: 79 | train MSE: 0.026304 | val MSE: 0.027887 | total time: 1 hours 16 minutes
Epoch: 80 | train MSE: 0.027080 | val MSE: 0.031499 | total time: 1 hours 17 minutes
Epoch: 81 | train MSE: 0.025638 | val MSE: 0.030511 | total time: 1 hours 18 minutes
Epoch: 82 | train MSE: 0.027542 | val MSE: 0.030989 | total time: 1 hours 19 minutes
Epoch: 83 | train MSE: 0.025497 | val MSE: 0.034712 | total time: 1 hours 20 minutes
Epoch: 84 | train MSE: 0.027965 | val MSE: 0.033407 | total time: 1 hours 21 minutes
Epoch: 85 | train MSE: 0.024705 | val MSE: 0.028172 | total time: 1 hours 22 minutes
Epoch: 86 | train MSE: 0.025283 | val MSE: 0.030439 | total time: 1 hours 23 minutes
Epoch: 87 | train MSE: 0.025302 | val MSE: 0.030455 | total time: 1 hours 24 minutes
Epoch: 88 | train MSE: 0.027463 | val MSE: 0.030475 | total time: 1 hours 25 minutes
Epoch: 89 | train MSE: 0.023628 | val MSE: 0.027123 | total time: 1 hours 26 minutes
Epoch: 90 | train MSE: 0.025119 | val MSE: 0.027638 | total time: 1 hours 27 minutes
Epoch: 91 | train MSE: 0.025217 | val MSE: 0.029251 | total time: 1 hours 28 minutes
Epoch: 92 | train MSE: 0.024019 | val MSE: 0.031253 | total time: 1 hours 29 minutes
Epoch: 93 | train MSE: 0.026323 | val MSE: 0.030078 | total time: 1 hours 30 minutes
Epoch: 94 | train MSE: 0.024545 | val MSE: 0.027083 | total time: 1 hours 31 minutes
Epoch: 95 | train MSE: 0.021330 | val MSE: 0.028944 | total time: 1 hours 32 minutes
Epoch: 96 | train MSE: 0.023046 | val MSE: 0.029955 | total time: 1 hours 33 minutes
Epoch: 97 | train MSE: 0.023198 | val MSE: 0.026639 | total time: 1 hours 34 minutes
Epoch: 98 | train MSE: 0.023548 | val MSE: 0.027816 | total time: 1 hours 35 minutes
Epoch: 99 | train MSE: 0.023983 | val MSE: 0.026813 | total time: 1 hours 36 minutes
Epoch: 100 | train MSE: 0.023873 | val MSE: 0.031228 | total time: 1 hours 37 minutes
finished best_val_mse=0.026639
