[crb_enc_mse_cyclic_full_spare] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4
[crb_enc_mse_cyclic_full_spare] device=cuda:0 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_enc_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 61 | train MSE: 0.027332 | val MSE: 0.038991 | total time: 12 hours 25 minutes
Epoch: 62 | train MSE: 0.027459 | val MSE: 0.036179 | total time: 12 hours 37 minutes
Epoch: 63 | train MSE: 0.027464 | val MSE: 0.038035 | total time: 12 hours 49 minutes
Epoch: 64 | train MSE: 0.027357 | val MSE: 0.037116 | total time: 13 hours 1 minutes
Epoch: 65 | train MSE: 0.027254 | val MSE: 0.034945 | total time: 13 hours 13 minutes
Epoch: 66 | train MSE: 0.026646 | val MSE: 0.037207 | total time: 13 hours 24 minutes
Epoch: 67 | train MSE: 0.026368 | val MSE: 0.035222 | total time: 13 hours 35 minutes
Epoch: 68 | train MSE: 0.026828 | val MSE: 0.041406 | total time: 13 hours 47 minutes
Epoch: 69 | train MSE: 0.026315 | val MSE: 0.036445 | total time: 13 hours 58 minutes
Epoch: 70 | train MSE: 0.025881 | val MSE: 0.045940 | total time: 14 hours 9 minutes
Epoch: 71 | train MSE: 0.025777 | val MSE: 0.032437 | total time: 14 hours 21 minutes
Epoch: 72 | train MSE: 0.025249 | val MSE: 0.036661 | total time: 14 hours 32 minutes
Epoch: 73 | train MSE: 0.025403 | val MSE: 0.034520 | total time: 14 hours 43 minutes
Epoch: 74 | train MSE: 0.025440 | val MSE: 0.034047 | total time: 14 hours 55 minutes
Epoch: 75 | train MSE: 0.025019 | val MSE: 0.033166 | total time: 15 hours 6 minutes
Epoch: 76 | train MSE: 0.024789 | val MSE: 0.032137 | total time: 15 hours 17 minutes
Epoch: 77 | train MSE: 0.024726 | val MSE: 0.036434 | total time: 15 hours 30 minutes
Epoch: 78 | train MSE: 0.024876 | val MSE: 0.035622 | total time: 15 hours 42 minutes
Epoch: 79 | train MSE: 0.024666 | val MSE: 0.036387 | total time: 15 hours 55 minutes
Epoch: 80 | train MSE: 0.024416 | val MSE: 0.032803 | total time: 16 hours 8 minutes
Epoch: 81 | train MSE: 0.024248 | val MSE: 0.033188 | total time: 16 hours 20 minutes
Epoch: 82 | train MSE: 0.024317 | val MSE: 0.033231 | total time: 16 hours 33 minutes
Epoch: 83 | train MSE: 0.023630 | val MSE: 0.033894 | total time: 16 hours 45 minutes
Epoch: 84 | train MSE: 0.023818 | val MSE: 0.038087 | total time: 16 hours 58 minutes
Epoch: 85 | train MSE: 0.023478 | val MSE: 0.034473 | total time: 17 hours 11 minutes
Epoch: 86 | train MSE: 0.023744 | val MSE: 0.032792 | total time: 17 hours 23 minutes
Epoch: 87 | train MSE: 0.023261 | val MSE: 0.042349 | total time: 17 hours 36 minutes
Epoch: 88 | train MSE: 0.023499 | val MSE: 0.037346 | total time: 17 hours 48 minutes
Epoch: 89 | train MSE: 0.023352 | val MSE: 0.031558 | total time: 18 hours 1 minutes
Epoch: 90 | train MSE: 0.023441 | val MSE: 0.033500 | total time: 18 hours 14 minutes
Epoch: 91 | train MSE: 0.022776 | val MSE: 0.030797 | total time: 18 hours 26 minutes
Epoch: 92 | train MSE: 0.022494 | val MSE: 0.031469 | total time: 18 hours 39 minutes
Epoch: 93 | train MSE: 0.022983 | val MSE: 0.034245 | total time: 18 hours 51 minutes
Epoch: 94 | train MSE: 0.022834 | val MSE: 0.030610 | total time: 19 hours 4 minutes
Epoch: 95 | train MSE: 0.022815 | val MSE: 0.031816 | total time: 19 hours 16 minutes
Epoch: 96 | train MSE: 0.022209 | val MSE: 0.030099 | total time: 19 hours 29 minutes
Epoch: 97 | train MSE: 0.022172 | val MSE: 0.034238 | total time: 19 hours 42 minutes
Epoch: 98 | train MSE: 0.022528 | val MSE: 0.036187 | total time: 19 hours 55 minutes
Epoch: 99 | train MSE: 0.021818 | val MSE: 0.030480 | total time: 20 hours 7 minutes
Epoch: 100 | train MSE: 0.021654 | val MSE: 0.031828 | total time: 20 hours 20 minutes
finished best_val_mse=0.030099
