===== E5 Encoder =====
[crb_enc_mse_pop_e5] device=cuda:0 | UNetCRB params=1.56M trainable=1.07M | loss=lung-masked MSE | CRB=encoder + frozen anatomy side-branch | seed=20260817
[crb_enc_mse_pop_e5] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 8640 val 480 | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 62 | train MSE: 0.023983 | val MSE: 0.032638 | total time: 2 hours 35 minutes
Epoch: 63 | train MSE: 0.023379 | val MSE: 0.036337 | total time: 2 hours 37 minutes
Epoch: 64 | train MSE: 0.023066 | val MSE: 0.032854 | total time: 2 hours 40 minutes
Epoch: 65 | train MSE: 0.023302 | val MSE: 0.035202 | total time: 2 hours 42 minutes
Epoch: 66 | train MSE: 0.022466 | val MSE: 0.032400 | total time: 2 hours 44 minutes
Epoch: 67 | train MSE: 0.022144 | val MSE: 0.033960 | total time: 2 hours 47 minutes
Epoch: 68 | train MSE: 0.022778 | val MSE: 0.038330 | total time: 2 hours 49 minutes
Epoch: 69 | train MSE: 0.022882 | val MSE: 0.032329 | total time: 2 hours 51 minutes
Epoch: 70 | train MSE: 0.021554 | val MSE: 0.035055 | total time: 2 hours 54 minutes
Epoch: 71 | train MSE: 0.021783 | val MSE: 0.030666 | total time: 2 hours 56 minutes
Epoch: 72 | train MSE: 0.022308 | val MSE: 0.031565 | total time: 2 hours 58 minutes
Epoch: 73 | train MSE: 0.021599 | val MSE: 0.036674 | total time: 3 hours 1 minutes
Epoch: 74 | train MSE: 0.021349 | val MSE: 0.031930 | total time: 3 hours 3 minutes
Epoch: 75 | train MSE: 0.022678 | val MSE: 0.034197 | total time: 3 hours 5 minutes
Epoch: 76 | train MSE: 0.020840 | val MSE: 0.040309 | total time: 3 hours 8 minutes
Epoch: 77 | train MSE: 0.020850 | val MSE: 0.031622 | total time: 3 hours 10 minutes
Epoch: 78 | train MSE: 0.021301 | val MSE: 0.029776 | total time: 3 hours 12 minutes
Epoch: 79 | train MSE: 0.021080 | val MSE: 0.032781 | total time: 3 hours 14 minutes
Epoch: 80 | train MSE: 0.020259 | val MSE: 0.031633 | total time: 3 hours 17 minutes
Epoch: 81 | train MSE: 0.021058 | val MSE: 0.032819 | total time: 3 hours 19 minutes
Epoch: 82 | train MSE: 0.020310 | val MSE: 0.029479 | total time: 3 hours 21 minutes
Epoch: 83 | train MSE: 0.020500 | val MSE: 0.036120 | total time: 3 hours 24 minutes
Epoch: 84 | train MSE: 0.019896 | val MSE: 0.029414 | total time: 3 hours 26 minutes
Epoch: 85 | train MSE: 0.019735 | val MSE: 0.032773 | total time: 3 hours 28 minutes
Epoch: 86 | train MSE: 0.020008 | val MSE: 0.033357 | total time: 3 hours 31 minutes
Epoch: 87 | train MSE: 0.019945 | val MSE: 0.030146 | total time: 3 hours 33 minutes
Epoch: 88 | train MSE: 0.019534 | val MSE: 0.042383 | total time: 3 hours 35 minutes
Epoch: 89 | train MSE: 0.019670 | val MSE: 0.029526 | total time: 3 hours 38 minutes
Epoch: 90 | train MSE: 0.019294 | val MSE: 0.039284 | total time: 3 hours 40 minutes
Epoch: 91 | train MSE: 0.018987 | val MSE: 0.027626 | total time: 3 hours 42 minutes
Epoch: 92 | train MSE: 0.019432 | val MSE: 0.033114 | total time: 3 hours 45 minutes
Epoch: 93 | train MSE: 0.019458 | val MSE: 0.035224 | total time: 3 hours 47 minutes
Epoch: 94 | train MSE: 0.019289 | val MSE: 0.029177 | total time: 3 hours 49 minutes
Epoch: 95 | train MSE: 0.018886 | val MSE: 0.030404 | total time: 3 hours 52 minutes
Epoch: 96 | train MSE: 0.019434 | val MSE: 0.031072 | total time: 3 hours 54 minutes
Epoch: 97 | train MSE: 0.018593 | val MSE: 0.034328 | total time: 3 hours 56 minutes
Epoch: 98 | train MSE: 0.018881 | val MSE: 0.030364 | total time: 3 hours 59 minutes
Epoch: 99 | train MSE: 0.019219 | val MSE: 0.044579 | total time: 4 hours 1 minutes
Epoch: 100 | train MSE: 0.018504 | val MSE: 0.031028 | total time: 4 hours 3 minutes
finished best_val_mse=0.027626
