pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.051653	0.000000	5165252.462029	nan	nan
01_to_02	pair	0.818699	0.800928	1.022188	0.11665748804807663	0.19053524732589722
01_to_03	pair	2.285242	1.698007	1.345838	-0.043865080922842026	0.4680715501308441
01_to_04	pair	3.699130	2.295995	1.611123	-0.15022802352905273	0.6499377489089966
01_to_05	pair	4.473611	2.547780	1.755886	-0.2587883174419403	0.7299103736877441
01_to_06	pair	5.037046	2.888724	1.743692	-0.3285802900791168	0.6843255758285522
01_to_07	pair	5.070835	3.170722	1.599268	-0.3903808295726776	0.5578256845474243
01_to_08	pair	4.146097	3.165049	1.309963	-0.43879207968711853	0.3073010742664337
01_to_09	pair	2.508132	2.001783	1.252949	-0.5162769556045532	0.26112040877342224
01_to_10	pair	0.907813	0.774033	1.172835	-0.5648024678230286	0.20390336215496063
02_to_01	pair	0.841694	0.807185	1.042752	0.1018519401550293	0.11808119714260101
02_to_02	identity	0.054434	0.000000	5443355.441093	nan	nan
02_to_03	pair	1.246456	0.952400	1.308752	-0.1102692037820816	0.4023035764694214
02_to_04	pair	2.408972	1.582155	1.522589	-0.16288498044013977	0.5600354671478271
02_to_05	pair	3.161754	1.823710	1.733694	-0.24761547148227692	0.7254713177680969
02_to_06	pair	3.844597	2.207020	1.741986	-0.33071616291999817	0.701078474521637
02_to_07	pair	4.067135	2.510180	1.620256	-0.3998090922832489	0.5937178134918213
02_to_08	pair	3.465373	2.505506	1.383103	-0.5505858063697815	0.36687976121902466
02_to_09	pair	2.104982	1.537283	1.369287	-0.6061129570007324	0.3998416066169739
02_to_10	pair	0.878396	0.811715	1.082149	0.12044808268547058	0.41203397512435913
03_to_01	pair	2.229603	1.674340	1.331631	-0.08558138459920883	0.4276251196861267
03_to_02	pair	1.277934	0.931908	1.371309	-0.188192680478096	0.42928972840309143
03_to_03	identity	0.052060	0.000000	5205966.904759	nan	nan
03_to_04	pair	1.036163	0.709672	1.460060	-0.20364001393318176	0.5293059945106506
03_to_05	pair	1.730616	0.952034	1.817810	-0.3134748637676239	0.7992836833000183
03_to_06	pair	2.463618	1.327422	1.855941	-0.41000422835350037	0.7859439253807068
03_to_07	pair	2.694354	1.621661	1.661478	-0.49541717767715454	0.6181992292404175
03_to_08	pair	2.210871	1.615267	1.368734	-0.6817929148674011	0.37945106625556946
03_to_09	pair	1.314403	1.060435	1.239494	-0.21465128660202026	0.48510485887527466
03_to_10	pair	1.536886	1.360410	1.129723	0.22987742722034454	0.4566464126110077
04_to_01	pair	3.658238	2.278257	1.605718	-0.22247759997844696	0.6086962819099426
04_to_02	pair	2.603360	1.596060	1.631117	-0.27496814727783203	0.6310909390449524
04_to_03	pair	1.001569	0.673136	1.487914	-0.24596595764160156	0.572699248790741
04_to_04	identity	0.046105	0.000000	4610478.878021	nan	nan
04_to_05	pair	0.701349	0.453905	1.545144	-0.24030710756778717	0.6203199625015259
04_to_06	pair	1.294647	0.770038	1.681276	-0.4387475550174713	0.6190627813339233
04_to_07	pair	1.589242	1.041971	1.525226	-0.559506356716156	0.500471830368042
04_to_08	pair	1.440291	1.094422	1.316029	-0.5294318199157715	0.387298047542572
04_to_09	pair	1.360411	1.124091	1.210232	0.15886951982975006	0.6472926139831543
04_to_10	pair	2.557036	1.843796	1.386833	0.04291974753141403	0.6125575304031372
05_to_01	pair	4.683216	2.509919	1.865883	-0.35829412937164307	0.7922016978263855
05_to_02	pair	3.536543	1.840534	1.921477	-0.42507806420326233	0.8457815051078796
05_to_03	pair	1.675315	0.916713	1.827525	-0.3911471366882324	0.8339601159095764
05_to_04	pair	0.620058	0.441081	1.405770	-0.21009406447410583	0.5874428749084473
05_to_05	identity	0.034073	0.000000	3407302.871346	nan	nan
05_to_06	pair	0.579320	0.440663	1.314655	-0.43141764402389526	0.318357914686203
05_to_07	pair	0.963476	0.755781	1.274809	-0.5736595988273621	0.30511224269866943
05_to_08	pair	1.072249	0.916966	1.169344	-0.029529178515076637	0.422258585691452
05_to_09	pair	1.800811	1.223715	1.471594	0.06395009905099869	0.8731423616409302
05_to_10	pair	3.569230	2.036793	1.752378	-0.18888472020626068	0.8182448744773865
06_to_01	pair	5.491946	2.908846	1.888015	-0.41396811604499817	0.8003616333007812
06_to_02	pair	4.125970	2.244025	1.838647	-0.4650106728076935	0.7783682942390442
06_to_03	pair	2.313283	1.330106	1.739172	-0.4509811997413635	0.7216933369636536
06_to_04	pair	1.197487	0.761838	1.571840	-0.42380380630493164	0.5545467138290405
06_to_05	pair	0.544086	0.456814	1.191044	-0.36692118644714355	0.21798175573349
06_to_06	identity	0.054158	0.000000	5415778.607130	nan	nan
06_to_07	pair	0.424539	0.370566	1.145649	-0.04214707016944885	0.347738653421402
06_to_08	pair	0.777431	0.572894	1.357024	0.2084674835205078	0.8354446887969971
06_to_09	pair	2.183482	1.312802	1.663223	-0.08505218476057053	0.9229576587677002
06_to_10	pair	4.165660	2.312116	1.801665	-0.3042786717414856	0.8271076083183289
07_to_01	pair	5.060138	3.134802	1.614181	-0.4090656340122223	0.5930852890014648
07_to_02	pair	3.840417	2.521169	1.523268	-0.4812098741531372	0.5329262018203735
07_to_03	pair	2.315849	1.668569	1.387925	-0.508897602558136	0.42368993163108826
07_to_04	pair	1.316077	1.049558	1.253935	-0.5487380027770996	0.2838870882987976
07_to_05	pair	0.875060	0.749281	1.167866	-0.39336079359054565	0.23478563129901886
07_to_06	pair	0.368616	0.344549	1.069850	0.05675525590777397	0.29169851541519165
07_to_07	identity	0.050447	0.000000	5044699.087739	nan	nan
07_to_08	pair	0.533086	0.425634	1.252450	0.0803423747420311	0.6520308256149292
07_to_09	pair	1.944430	1.360857	1.428827	-0.15833604335784912	0.6273691058158875
07_to_10	pair	3.792420	2.491857	1.521925	-0.31416627764701843	0.586770236492157
08_to_01	pair	4.440713	3.066814	1.447989	-0.5411131978034973	0.39877429604530334
08_to_02	pair	3.572138	2.459818	1.452196	-0.639228343963623	0.41248995065689087
08_to_03	pair	2.170552	1.646983	1.317896	-0.6870452761650085	0.33328112959861755
08_to_04	pair	1.375111	1.093502	1.257530	-0.31307122111320496	0.37160375714302063
08_to_05	pair	1.140236	0.920024	1.239355	0.025689376518130302	0.5410026907920837
08_to_06	pair	0.831656	0.526744	1.578860	0.14076678454875946	1.0994738340377808
08_to_07	pair	0.663405	0.406296	1.632814	0.02491696923971176	1.0241442918777466
08_to_08	identity	0.034367	0.000000	3436655.178666	nan	nan
08_to_09	pair	1.545945	1.263724	1.223324	-0.2645670175552368	0.31255069375038147
08_to_10	pair	3.273643	2.403281	1.362156	-0.405310720205307	0.37825629115104675
09_to_01	pair	2.478096	2.026170	1.223045	-0.4576225280761719	0.24914982914924622
09_to_02	pair	1.979997	1.615255	1.225811	-0.5827804207801819	0.2690691649913788
09_to_03	pair	1.131200	1.075065	1.052216	0.1546785682439804	0.3663773238658905
09_to_04	pair	1.371013	1.144657	1.197750	0.24767117202281952	0.7426380515098572
09_to_05	pair	1.765278	1.238459	1.425383	0.1487051546573639	0.9716232419013977
09_to_06	pair	2.128906	1.316148	1.617528	-0.009840483777225018	0.9617794156074524
09_to_07	pair	2.130963	1.381571	1.542420	-0.16254398226737976	0.7311068773269653
09_to_08	pair	1.444760	1.281410	1.127477	-0.14049290120601654	0.26728594303131104
09_to_09	identity	0.028740	0.000000	2873974.107206	nan	nan
09_to_10	pair	1.583236	1.258604	1.257930	-0.3693593442440033	0.3064326345920563
10_to_01	pair	0.880765	0.805349	1.093643	-0.45036834478378296	0.13711854815483093
10_to_02	pair	0.794008	0.810690	0.979424	0.2792927920818329	0.23076805472373962
