[crb_dec_mse_pop_e1] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder-only | seed=20260817
[crb_dec_mse_pop_e1] train 8640 (540 pairs × 16) | val 480 (60 pairs × 8) | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 63 | train MSE: 0.013839 | val MSE: 0.026421 | total time: 2 hours 30 minutes
Epoch: 64 | train MSE: 0.014001 | val MSE: 0.026786 | total time: 2 hours 32 minutes
Epoch: 65 | train MSE: 0.013818 | val MSE: 0.024876 | total time: 2 hours 34 minutes
Epoch: 66 | train MSE: 0.013475 | val MSE: 0.025145 | total time: 2 hours 37 minutes
Epoch: 67 | train MSE: 0.013714 | val MSE: 0.025318 | total time: 2 hours 39 minutes
Epoch: 68 | train MSE: 0.013553 | val MSE: 0.026962 | total time: 2 hours 42 minutes
Epoch: 69 | train MSE: 0.013609 | val MSE: 0.026554 | total time: 2 hours 44 minutes
Epoch: 70 | train MSE: 0.013132 | val MSE: 0.022991 | total time: 2 hours 46 minutes
Epoch: 71 | train MSE: 0.013241 | val MSE: 0.023535 | total time: 2 hours 49 minutes
Epoch: 72 | train MSE: 0.012936 | val MSE: 0.024616 | total time: 2 hours 51 minutes
Epoch: 73 | train MSE: 0.013027 | val MSE: 0.024480 | total time: 2 hours 53 minutes
Epoch: 74 | train MSE: 0.013013 | val MSE: 0.024624 | total time: 2 hours 56 minutes
Epoch: 75 | train MSE: 0.013025 | val MSE: 0.023654 | total time: 2 hours 58 minutes
Epoch: 76 | train MSE: 0.012647 | val MSE: 0.024216 | total time: 3 hours 1 minutes
Epoch: 77 | train MSE: 0.012796 | val MSE: 0.023536 | total time: 3 hours 3 minutes
Epoch: 78 | train MSE: 0.012694 | val MSE: 0.022916 | total time: 3 hours 5 minutes
Epoch: 79 | train MSE: 0.012648 | val MSE: 0.029022 | total time: 3 hours 8 minutes
Epoch: 80 | train MSE: 0.012533 | val MSE: 0.031401 | total time: 3 hours 10 minutes
Epoch: 81 | train MSE: 0.012438 | val MSE: 0.023853 | total time: 3 hours 12 minutes
Epoch: 82 | train MSE: 0.012227 | val MSE: 0.021983 | total time: 3 hours 15 minutes
Epoch: 83 | train MSE: 0.012150 | val MSE: 0.024108 | total time: 3 hours 17 minutes
Epoch: 84 | train MSE: 0.012328 | val MSE: 0.021764 | total time: 3 hours 19 minutes
Epoch: 85 | train MSE: 0.012341 | val MSE: 0.024002 | total time: 3 hours 22 minutes
Epoch: 86 | train MSE: 0.011934 | val MSE: 0.022963 | total time: 3 hours 24 minutes
