[crb_both_mse_cyclic_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4 im_size=128
[crb_both_mse_cyclic_full128] device=cuda:1 | UNetCRBBoth params=1.08M | loss=lung-masked MSE | no D | CRB=both | cyclic | train 128³ | seed=20260824
[crb_both_mse_cyclic_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 62 | train MSE: 0.039878 | val MSE: 0.039070 | total time: 1 hours 1 minutes
Epoch: 63 | train MSE: 0.040818 | val MSE: 0.038159 | total time: 1 hours 2 minutes
Epoch: 64 | train MSE: 0.035053 | val MSE: 0.043973 | total time: 1 hours 3 minutes
Epoch: 65 | train MSE: 0.039415 | val MSE: 0.061807 | total time: 1 hours 4 minutes
Epoch: 66 | train MSE: 0.036905 | val MSE: 0.039569 | total time: 1 hours 5 minutes
Epoch: 67 | train MSE: 0.036760 | val MSE: 0.039453 | total time: 1 hours 6 minutes
Epoch: 68 | train MSE: 0.036805 | val MSE: 0.036925 | total time: 1 hours 7 minutes
Epoch: 69 | train MSE: 0.034139 | val MSE: 0.037699 | total time: 1 hours 8 minutes
Epoch: 70 | train MSE: 0.037270 | val MSE: 0.044431 | total time: 1 hours 9 minutes
Epoch: 71 | train MSE: 0.038773 | val MSE: 0.036470 | total time: 1 hours 10 minutes
Epoch: 72 | train MSE: 0.033088 | val MSE: 0.041197 | total time: 1 hours 11 minutes
Epoch: 73 | train MSE: 0.034268 | val MSE: 0.035259 | total time: 1 hours 12 minutes
Epoch: 74 | train MSE: 0.033510 | val MSE: 0.043481 | total time: 1 hours 13 minutes
Epoch: 75 | train MSE: 0.033452 | val MSE: 0.038965 | total time: 1 hours 14 minutes
Epoch: 76 | train MSE: 0.033646 | val MSE: 0.049903 | total time: 1 hours 14 minutes
Epoch: 77 | train MSE: 0.034084 | val MSE: 0.033779 | total time: 1 hours 15 minutes
Epoch: 78 | train MSE: 0.030998 | val MSE: 0.036045 | total time: 1 hours 16 minutes
Epoch: 79 | train MSE: 0.031769 | val MSE: 0.036890 | total time: 1 hours 17 minutes
Epoch: 80 | train MSE: 0.030743 | val MSE: 0.034413 | total time: 1 hours 18 minutes
Epoch: 81 | train MSE: 0.030720 | val MSE: 0.035001 | total time: 1 hours 19 minutes
Epoch: 82 | train MSE: 0.034903 | val MSE: 0.042977 | total time: 1 hours 20 minutes
Epoch: 83 | train MSE: 0.028826 | val MSE: 0.035447 | total time: 1 hours 21 minutes
Epoch: 84 | train MSE: 0.029671 | val MSE: 0.034790 | total time: 1 hours 22 minutes
Epoch: 85 | train MSE: 0.032187 | val MSE: 0.034651 | total time: 1 hours 23 minutes
Epoch: 86 | train MSE: 0.030361 | val MSE: 0.035990 | total time: 1 hours 24 minutes
Epoch: 87 | train MSE: 0.029848 | val MSE: 0.034212 | total time: 1 hours 25 minutes
Epoch: 88 | train MSE: 0.030053 | val MSE: 0.034935 | total time: 1 hours 26 minutes
Epoch: 89 | train MSE: 0.027735 | val MSE: 0.032656 | total time: 1 hours 27 minutes
Epoch: 90 | train MSE: 0.030776 | val MSE: 0.032914 | total time: 1 hours 28 minutes
Epoch: 91 | train MSE: 0.030253 | val MSE: 0.032262 | total time: 1 hours 29 minutes
Epoch: 92 | train MSE: 0.026739 | val MSE: 0.034768 | total time: 1 hours 30 minutes
Epoch: 93 | train MSE: 0.027994 | val MSE: 0.032452 | total time: 1 hours 31 minutes
Epoch: 94 | train MSE: 0.028120 | val MSE: 0.033531 | total time: 1 hours 32 minutes
Epoch: 95 | train MSE: 0.027510 | val MSE: 0.031990 | total time: 1 hours 33 minutes
Epoch: 96 | train MSE: 0.026554 | val MSE: 0.038113 | total time: 1 hours 34 minutes
Epoch: 97 | train MSE: 0.029668 | val MSE: 0.030343 | total time: 1 hours 35 minutes
Epoch: 98 | train MSE: 0.024420 | val MSE: 0.032193 | total time: 1 hours 36 minutes
Epoch: 99 | train MSE: 0.029821 | val MSE: 0.029917 | total time: 1 hours 36 minutes
Epoch: 100 | train MSE: 0.024892 | val MSE: 0.031962 | total time: 1 hours 37 minutes
finished best_val_mse=0.029917
