[crb_enc_mse_cyclic_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/networks/generator_crb.py cond_dim=4 im_size=128
[crb_enc_mse_cyclic_full128] device=cuda:0 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder | cyclic | train 128³ | seed=20260824
[crb_enc_mse_cyclic_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 62 | train MSE: 0.049121 | val MSE: 0.049411 | total time: 0 hours 57 minutes
Epoch: 63 | train MSE: 0.044997 | val MSE: 0.044859 | total time: 0 hours 58 minutes
Epoch: 64 | train MSE: 0.046979 | val MSE: 0.046718 | total time: 0 hours 59 minutes
Epoch: 65 | train MSE: 0.048836 | val MSE: 0.066475 | total time: 1 hours 0 minutes
Epoch: 66 | train MSE: 0.046468 | val MSE: 0.047592 | total time: 1 hours 1 minutes
Epoch: 67 | train MSE: 0.048987 | val MSE: 0.061500 | total time: 1 hours 1 minutes
Epoch: 68 | train MSE: 0.044661 | val MSE: 0.057295 | total time: 1 hours 2 minutes
Epoch: 69 | train MSE: 0.044940 | val MSE: 0.045184 | total time: 1 hours 3 minutes
Epoch: 70 | train MSE: 0.042463 | val MSE: 0.044724 | total time: 1 hours 4 minutes
Epoch: 71 | train MSE: 0.046085 | val MSE: 0.044591 | total time: 1 hours 5 minutes
Epoch: 72 | train MSE: 0.042722 | val MSE: 0.049543 | total time: 1 hours 6 minutes
Epoch: 73 | train MSE: 0.041639 | val MSE: 0.043569 | total time: 1 hours 7 minutes
Epoch: 74 | train MSE: 0.047246 | val MSE: 0.044558 | total time: 1 hours 8 minutes
Epoch: 75 | train MSE: 0.041165 | val MSE: 0.041525 | total time: 1 hours 9 minutes
Epoch: 76 | train MSE: 0.042274 | val MSE: 0.048678 | total time: 1 hours 10 minutes
Epoch: 77 | train MSE: 0.039890 | val MSE: 0.040939 | total time: 1 hours 11 minutes
Epoch: 78 | train MSE: 0.040333 | val MSE: 0.045485 | total time: 1 hours 12 minutes
Epoch: 79 | train MSE: 0.042613 | val MSE: 0.047263 | total time: 1 hours 13 minutes
Epoch: 80 | train MSE: 0.037390 | val MSE: 0.042253 | total time: 1 hours 14 minutes
Epoch: 81 | train MSE: 0.040728 | val MSE: 0.044135 | total time: 1 hours 15 minutes
Epoch: 82 | train MSE: 0.039928 | val MSE: 0.038157 | total time: 1 hours 16 minutes
Epoch: 83 | train MSE: 0.040837 | val MSE: 0.045423 | total time: 1 hours 17 minutes
Epoch: 84 | train MSE: 0.038073 | val MSE: 0.042282 | total time: 1 hours 18 minutes
Epoch: 85 | train MSE: 0.036595 | val MSE: 0.038955 | total time: 1 hours 19 minutes
Epoch: 86 | train MSE: 0.041579 | val MSE: 0.041469 | total time: 1 hours 19 minutes
Epoch: 87 | train MSE: 0.035488 | val MSE: 0.037244 | total time: 1 hours 20 minutes
Epoch: 88 | train MSE: 0.040774 | val MSE: 0.039781 | total time: 1 hours 21 minutes
Epoch: 89 | train MSE: 0.034818 | val MSE: 0.035267 | total time: 1 hours 22 minutes
Epoch: 90 | train MSE: 0.040330 | val MSE: 0.047761 | total time: 1 hours 23 minutes
Epoch: 91 | train MSE: 0.035877 | val MSE: 0.042237 | total time: 1 hours 24 minutes
Epoch: 92 | train MSE: 0.035977 | val MSE: 0.047776 | total time: 1 hours 25 minutes
Epoch: 93 | train MSE: 0.038346 | val MSE: 0.037271 | total time: 1 hours 26 minutes
Epoch: 94 | train MSE: 0.030859 | val MSE: 0.041366 | total time: 1 hours 27 minutes
Epoch: 95 | train MSE: 0.035179 | val MSE: 0.042876 | total time: 1 hours 28 minutes
Epoch: 96 | train MSE: 0.036765 | val MSE: 0.045896 | total time: 1 hours 29 minutes
Epoch: 97 | train MSE: 0.037427 | val MSE: 0.034917 | total time: 1 hours 30 minutes
Epoch: 98 | train MSE: 0.030219 | val MSE: 0.038240 | total time: 1 hours 31 minutes
Epoch: 99 | train MSE: 0.032828 | val MSE: 0.036110 | total time: 1 hours 32 minutes
Epoch: 100 | train MSE: 0.037535 | val MSE: 0.037730 | total time: 1 hours 33 minutes
finished best_val_mse=0.034917
