pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
10_to_01	pair	0.800610	0.647440	1.236578	-0.5055582523345947	0.292084664106369
10_to_02	pair	0.867781	0.805118	1.077830	-0.08490533381700516	0.23445536196231842
10_to_03	pair	1.536659	1.535627	1.000671	0.25512972474098206	0.1681865155696869
10_to_04	pair	2.603045	2.558800	1.017291	0.09867088496685028	0.1735692322254181
10_to_05	pair	3.457082	3.260957	1.060143	-0.058035705238580704	0.17620281875133514
10_to_06	pair	3.706283	3.389284	1.093530	-0.1632183939218521	0.19059710204601288
10_to_07	pair	3.367844	2.927397	1.150457	-0.2995758354663849	0.21392220258712769
10_to_08	pair	2.505154	2.117103	1.183293	-0.43994614481925964	0.2294929027557373
10_to_09	pair	1.146825	0.999469	1.147434	-0.45390424132347107	0.18815428018569946
10_to_10	identity	0.017179	0.000000	1717852.614820	nan	nan
