[crb_enc_mse_linear_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/InitialExperiments/Experiment1/networks/generator_crb.py cond_dim=2 im_size=128
[crb_enc_mse_linear_full128] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder | linear | train 128³ | seed=20260824
[crb_enc_mse_linear_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 62 | train MSE: 0.056967 | val MSE: 0.052188 | total time: 4 hours 45 minutes
Epoch: 63 | train MSE: 0.056399 | val MSE: 0.054086 | total time: 4 hours 50 minutes
Epoch: 64 | train MSE: 0.058025 | val MSE: 0.049734 | total time: 4 hours 56 minutes
Epoch: 65 | train MSE: 0.061958 | val MSE: 0.083364 | total time: 5 hours 1 minutes
Epoch: 66 | train MSE: 0.056842 | val MSE: 0.066632 | total time: 5 hours 6 minutes
Epoch: 67 | train MSE: 0.055294 | val MSE: 0.054661 | total time: 5 hours 11 minutes
Epoch: 68 | train MSE: 0.056552 | val MSE: 0.063457 | total time: 5 hours 16 minutes
Epoch: 69 | train MSE: 0.051885 | val MSE: 0.058537 | total time: 5 hours 21 minutes
Epoch: 70 | train MSE: 0.054528 | val MSE: 0.063014 | total time: 5 hours 27 minutes
Epoch: 71 | train MSE: 0.051011 | val MSE: 0.046464 | total time: 5 hours 32 minutes
Epoch: 72 | train MSE: 0.057037 | val MSE: 0.063135 | total time: 5 hours 37 minutes
Epoch: 73 | train MSE: 0.047778 | val MSE: 0.046992 | total time: 5 hours 42 minutes
Epoch: 74 | train MSE: 0.052237 | val MSE: 0.048155 | total time: 5 hours 47 minutes
Epoch: 75 | train MSE: 0.060327 | val MSE: 0.046568 | total time: 5 hours 53 minutes
Epoch: 76 | train MSE: 0.044283 | val MSE: 0.045226 | total time: 5 hours 58 minutes
Epoch: 77 | train MSE: 0.046615 | val MSE: 0.047901 | total time: 6 hours 3 minutes
Epoch: 78 | train MSE: 0.052324 | val MSE: 0.046107 | total time: 6 hours 8 minutes
Epoch: 79 | train MSE: 0.045371 | val MSE: 0.075935 | total time: 6 hours 13 minutes
Epoch: 80 | train MSE: 0.051837 | val MSE: 0.050791 | total time: 6 hours 19 minutes
Epoch: 81 | train MSE: 0.043035 | val MSE: 0.048008 | total time: 6 hours 24 minutes
Epoch: 82 | train MSE: 0.047728 | val MSE: 0.044315 | total time: 6 hours 29 minutes
Epoch: 83 | train MSE: 0.044360 | val MSE: 0.043495 | total time: 6 hours 34 minutes
Epoch: 84 | train MSE: 0.040852 | val MSE: 0.043078 | total time: 6 hours 39 minutes
Epoch: 85 | train MSE: 0.043784 | val MSE: 0.039230 | total time: 6 hours 45 minutes
Epoch: 86 | train MSE: 0.043902 | val MSE: 0.039180 | total time: 6 hours 50 minutes
Epoch: 87 | train MSE: 0.045165 | val MSE: 0.039813 | total time: 6 hours 55 minutes
Epoch: 88 | train MSE: 0.050965 | val MSE: 0.046165 | total time: 7 hours 0 minutes
Epoch: 89 | train MSE: 0.039141 | val MSE: 0.047177 | total time: 7 hours 5 minutes
Epoch: 90 | train MSE: 0.043647 | val MSE: 0.041436 | total time: 7 hours 11 minutes
Epoch: 91 | train MSE: 0.039831 | val MSE: 0.054022 | total time: 7 hours 16 minutes
Epoch: 92 | train MSE: 0.041954 | val MSE: 0.071890 | total time: 7 hours 21 minutes
Epoch: 93 | train MSE: 0.039642 | val MSE: 0.052284 | total time: 7 hours 26 minutes
Epoch: 94 | train MSE: 0.046902 | val MSE: 0.039550 | total time: 7 hours 31 minutes
Epoch: 95 | train MSE: 0.036771 | val MSE: 0.060696 | total time: 7 hours 36 minutes
Epoch: 96 | train MSE: 0.037794 | val MSE: 0.041768 | total time: 7 hours 42 minutes
Epoch: 97 | train MSE: 0.040771 | val MSE: 0.036539 | total time: 7 hours 47 minutes
Epoch: 98 | train MSE: 0.038362 | val MSE: 0.045986 | total time: 7 hours 52 minutes
Epoch: 99 | train MSE: 0.035606 | val MSE: 0.039346 | total time: 7 hours 57 minutes
Epoch: 100 | train MSE: 0.043294 | val MSE: 0.045108 | total time: 8 hours 3 minutes
finished best_val_mse=0.036539
