[crb_enc_mse_pop_e4] device=cuda:1 | UNetCRB params=1.56M trainable=1.07M | loss=lung-masked MSE | CRB=encoder + frozen anatomy side-branch | seed=20260819
[crb_enc_mse_pop_e4] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 5760 val 320 | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 63 | train MSE: 0.037418 | val MSE: 0.053872 | total time: 1 hours 47 minutes
Epoch: 64 | train MSE: 0.037825 | val MSE: 0.041985 | total time: 1 hours 48 minutes
Epoch: 65 | train MSE: 0.035347 | val MSE: 0.048289 | total time: 1 hours 50 minutes
Epoch: 66 | train MSE: 0.036997 | val MSE: 0.043988 | total time: 1 hours 52 minutes
Epoch: 67 | train MSE: 0.036541 | val MSE: 0.043734 | total time: 1 hours 53 minutes
Epoch: 68 | train MSE: 0.035437 | val MSE: 0.046350 | total time: 1 hours 55 minutes
Epoch: 69 | train MSE: 0.035277 | val MSE: 0.041299 | total time: 1 hours 57 minutes
Epoch: 70 | train MSE: 0.034179 | val MSE: 0.042742 | total time: 1 hours 59 minutes
Epoch: 71 | train MSE: 0.035457 | val MSE: 0.046820 | total time: 2 hours 0 minutes
Epoch: 72 | train MSE: 0.034374 | val MSE: 0.041363 | total time: 2 hours 2 minutes
Epoch: 73 | train MSE: 0.033644 | val MSE: 0.042399 | total time: 2 hours 4 minutes
Epoch: 74 | train MSE: 0.034575 | val MSE: 0.045827 | total time: 2 hours 5 minutes
Epoch: 75 | train MSE: 0.033726 | val MSE: 0.043130 | total time: 2 hours 7 minutes
Epoch: 76 | train MSE: 0.032713 | val MSE: 0.040419 | total time: 2 hours 9 minutes
Epoch: 77 | train MSE: 0.034088 | val MSE: 0.038233 | total time: 2 hours 10 minutes
Epoch: 78 | train MSE: 0.033225 | val MSE: 0.041148 | total time: 2 hours 12 minutes
Epoch: 79 | train MSE: 0.032097 | val MSE: 0.047110 | total time: 2 hours 14 minutes
Epoch: 80 | train MSE: 0.032401 | val MSE: 0.053724 | total time: 2 hours 16 minutes
Epoch: 81 | train MSE: 0.031680 | val MSE: 0.041135 | total time: 2 hours 17 minutes
Epoch: 82 | train MSE: 0.031970 | val MSE: 0.043771 | total time: 2 hours 19 minutes
Epoch: 83 | train MSE: 0.030816 | val MSE: 0.038142 | total time: 2 hours 21 minutes
Epoch: 84 | train MSE: 0.031312 | val MSE: 0.038977 | total time: 2 hours 22 minutes
Epoch: 85 | train MSE: 0.030910 | val MSE: 0.037956 | total time: 2 hours 24 minutes
Epoch: 86 | train MSE: 0.030712 | val MSE: 0.041945 | total time: 2 hours 26 minutes
Epoch: 87 | train MSE: 0.031305 | val MSE: 0.037497 | total time: 2 hours 28 minutes
Epoch: 88 | train MSE: 0.030821 | val MSE: 0.042328 | total time: 2 hours 29 minutes
Epoch: 89 | train MSE: 0.030553 | val MSE: 0.038080 | total time: 2 hours 31 minutes
Epoch: 90 | train MSE: 0.030784 | val MSE: 0.039655 | total time: 2 hours 33 minutes
Epoch: 91 | train MSE: 0.029533 | val MSE: 0.040430 | total time: 2 hours 34 minutes
Epoch: 92 | train MSE: 0.029938 | val MSE: 0.035324 | total time: 2 hours 36 minutes
Epoch: 93 | train MSE: 0.029212 | val MSE: 0.036860 | total time: 2 hours 38 minutes
Epoch: 94 | train MSE: 0.029656 | val MSE: 0.035207 | total time: 2 hours 39 minutes
Epoch: 95 | train MSE: 0.029486 | val MSE: 0.036679 | total time: 2 hours 41 minutes
Epoch: 96 | train MSE: 0.029281 | val MSE: 0.038458 | total time: 2 hours 43 minutes
Epoch: 97 | train MSE: 0.028386 | val MSE: 0.039345 | total time: 2 hours 45 minutes
Epoch: 98 | train MSE: 0.028920 | val MSE: 0.038806 | total time: 2 hours 46 minutes
Epoch: 99 | train MSE: 0.028366 | val MSE: 0.053075 | total time: 2 hours 48 minutes
Epoch: 100 | train MSE: 0.028283 | val MSE: 0.036904 | total time: 2 hours 50 minutes
finished best_val_mse=0.035207
