pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.013890	0.000000	1389049.459249	nan	nan
01_to_02	pair	0.730463	0.656595	1.112501	-0.016181552782654762	0.22223158180713654
01_to_03	pair	2.527841	2.099708	1.203901	-0.23992180824279785	0.24881474673748016
01_to_04	pair	4.029732	3.184095	1.265581	-0.2998349368572235	0.30405300855636597
01_to_05	pair	5.726255	4.598981	1.245114	-0.35245564579963684	0.28388163447380066
01_to_06	pair	6.739025	5.465049	1.233113	-0.4032672345638275	0.27032238245010376
01_to_07	pair	6.466209	5.235468	1.235078	-0.4997454583644867	0.26743751764297485
01_to_08	pair	4.777073	3.762543	1.269639	-0.5588318705558777	0.2996724247932434
01_to_09	pair	2.725611	2.061334	1.322256	-0.5895962119102478	0.34643036127090454
01_to_10	pair	0.836225	0.597547	1.399428	-0.5787104368209839	0.3995989263057709
02_to_01	pair	0.773440	0.674338	1.146961	-0.11653934419155121	0.25147056579589844
02_to_02	identity	0.012641	0.000000	1264106.109738	nan	nan
02_to_03	pair	1.757451	1.465119	1.199528	-0.3534325063228607	0.2312575727701187
02_to_04	pair	3.332823	2.508776	1.328465	-0.40588489174842834	0.3411714732646942
02_to_05	pair	5.191417	4.038593	1.285452	-0.4970593750476837	0.3037874400615692
02_to_06	pair	6.259984	4.935557	1.268344	-0.5300890207290649	0.29002928733825684
02_to_07	pair	5.935455	4.691768	1.265078	-0.5970029234886169	0.2864281237125397
02_to_08	pair	4.188526	3.227616	1.297715	-0.6452779769897461	0.31352466344833374
02_to_09	pair	2.148039	1.629292	1.318388	-0.6250477433204651	0.33229517936706543
02_to_10	pair	0.901374	0.857290	1.051423	-0.0353802815079689	0.20127081871032715
03_to_01	pair	2.462551	2.002459	1.229763	-0.19727976620197296	0.2816726863384247
03_to_02	pair	1.669765	1.386307	1.204470	-0.3400315046310425	0.2429037094116211
03_to_03	identity	0.011468	0.000000	1146840.024740	nan	nan
03_to_04	pair	1.415466	1.047559	1.351204	-0.27720555663108826	0.3766241669654846
03_to_05	pair	3.216567	2.324569	1.383726	-0.6307893395423889	0.3682172894477844
03_to_06	pair	4.232251	3.178562	1.331499	-0.6854234337806702	0.3199482560157776
03_to_07	pair	4.074641	3.079584	1.323114	-0.6556040644645691	0.32295864820480347
03_to_08	pair	2.498510	1.903427	1.312638	-0.5918511748313904	0.3375510573387146
03_to_09	pair	1.367237	1.263168	1.082388	-0.001374800456687808	0.27148622274398804
03_to_10	pair	1.846011	1.678269	1.099950	0.04477526247501373	0.2153383046388626
04_to_01	pair	3.824931	2.994959	1.277123	-0.25499027967453003	0.32785481214523315
04_to_02	pair	3.196486	2.400669	1.331498	-0.3979227542877197	0.351016640663147
04_to_03	pair	1.273456	0.929534	1.369994	-0.3634740114212036	0.4303804337978363
04_to_04	identity	0.016978	0.000000	1697801.239789	nan	nan
04_to_05	pair	1.607347	1.280685	1.255069	-0.5071125030517578	0.24947687983512878
04_to_06	pair	2.646168	2.102872	1.258359	-0.6565360426902771	0.24860472977161407
04_to_07	pair	2.562056	2.039332	1.256321	-0.6281623244285583	0.264809787273407
04_to_08	pair	1.795328	1.521547	1.179936	-0.3195694088935852	0.2753637135028839
04_to_09	pair	1.804399	1.724164	1.046535	0.10552216321229935	0.2602165937423706
04_to_10	pair	3.001723	2.527518	1.187617	-0.09384281188249588	0.286089152097702
05_to_01	pair	5.405669	4.337146	1.246365	-0.3256250321865082	0.2904888093471527
05_to_02	pair	5.005045	3.806314	1.314932	-0.48784393072128296	0.33027324080467224
05_to_03	pair	2.927079	2.185565	1.339278	-0.5537903308868408	0.34334123134613037
05_to_04	pair	1.593420	1.277923	1.246883	-0.5474967956542969	0.24886609613895416
05_to_05	identity	0.014222	0.000000	1422165.520489	nan	nan
05_to_06	pair	0.917919	0.738535	1.242892	-0.46950703859329224	0.2440425306558609
05_to_07	pair	1.132975	0.936510	1.209785	-0.3427611291408539	0.34618857502937317
05_to_08	pair	1.594750	1.514408	1.053052	0.08231113851070404	0.24615192413330078
05_to_09	pair	2.875468	2.554564	1.125620	-0.10193978995084763	0.2569411098957062
05_to_10	pair	4.494331	3.733130	1.203904	-0.21340502798557281	0.27315106987953186
06_to_01	pair	6.284162	5.040133	1.246825	-0.38816121220588684	0.2842263877391815
06_to_02	pair	5.933480	4.580932	1.295256	-0.5340002775192261	0.31560301780700684
06_to_03	pair	3.939520	3.026743	1.301571	-0.5969417691230774	0.31038519740104675
06_to_04	pair	2.580013	2.075886	1.242849	-0.6156026721000671	0.24602040648460388
06_to_05	pair	0.859258	0.691954	1.241785	-0.5363556146621704	0.24285124242305756
06_to_06	identity	0.010053	0.000000	1005287.654698	nan	nan
06_to_07	pair	0.745238	0.678696	1.098044	-0.023584626615047455	0.24635478854179382
06_to_08	pair	2.130013	1.911506	1.114312	-0.14043886959552765	0.2625274658203125
