pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.021467	0.000000	2146734.297276	nan	nan
01_to_02	pair	0.559428	0.558431	1.001785	0.2447032928466797	0.14430396258831024
01_to_03	pair	1.762991	1.452900	1.213429	0.15431368350982666	0.45404163002967834
01_to_04	pair	2.627282	1.949521	1.347655	-0.06701788306236267	0.5190181732177734
01_to_05	pair	3.523310	2.299932	1.531919	-0.33094534277915955	0.6078252792358398
01_to_06	pair	3.751564	2.427638	1.545356	-0.4431566894054413	0.5996093153953552
01_to_07	pair	3.660934	2.239447	1.634749	-0.4955448508262634	0.6517836451530457
01_to_08	pair	2.371927	1.628197	1.456781	-0.35059043765068054	0.49666643142700195
01_to_09	pair	1.246609	0.948073	1.314888	-0.26599517464637756	0.39485037326812744
01_to_10	pair	0.363804	0.324444	1.121313	-0.01095128059387207	0.24506503343582153
02_to_01	pair	0.595518	0.554811	1.073371	0.21356210112571716	0.31726786494255066
02_to_02	identity	0.022602	0.000000	2260246.314108	nan	nan
02_to_03	pair	1.503890	0.937271	1.604542	-0.10126519948244095	0.6600102782249451
02_to_04	pair	2.802741	1.452691	1.929344	-0.2836364507675171	0.9014858603477478
02_to_05	pair	3.714653	1.852929	2.004747	-0.3489183485507965	0.9371048808097839
02_to_06	pair	4.296451	2.021247	2.125643	-0.4198865294456482	0.9939646124839783
02_to_07	pair	3.998539	1.849465	2.161998	-0.48686161637306213	0.9798926115036011
02_to_08	pair	2.379089	1.271130	1.871634	-0.4992300271987915	0.7475787401199341
02_to_09	pair	1.129771	0.696253	1.622644	-0.42758312821388245	0.6193950772285461
02_to_10	pair	0.549154	0.509884	1.077016	0.2170460969209671	0.4130435585975647
03_to_01	pair	1.809525	1.387585	1.304083	0.04625368490815163	0.542877733707428
03_to_02	pair	1.676140	0.881307	1.901880	-0.08112344890832901	0.9831244349479675
03_to_03	identity	0.015466	0.000000	1546633.150429	nan	nan
03_to_04	pair	1.104023	0.516167	2.138887	-0.2788833677768707	1.108222246170044
03_to_05	pair	1.889555	0.895460	2.110151	-0.3509257733821869	1.0406290292739868
03_to_06	pair	2.469899	1.058744	2.332858	-0.4361177384853363	1.1811572313308716
03_to_07	pair	2.084630	0.935383	2.228638	-0.5573838353157043	1.0881813764572144
03_to_08	pair	1.170853	0.641388	1.825498	-0.39708051085472107	0.9561987519264221
03_to_09	pair	0.999879	0.690563	1.447918	0.19147904217243195	0.9541174173355103
03_to_10	pair	1.483406	1.188105	1.248547	0.1424827128648758	0.5965721011161804
04_to_01	pair	2.876178	1.868598	1.539217	-0.18609364330768585	0.7597440481185913
04_to_02	pair	2.697492	1.384805	1.947922	-0.28016388416290283	0.9710046648979187
04_to_03	pair	1.232951	0.509977	2.417660	-0.25886407494544983	1.4880837202072144
04_to_04	identity	0.016344	0.000000	1634392.328560	nan	nan
04_to_05	pair	0.661220	0.406366	1.627155	-0.2371038794517517	0.55109703540802
04_to_06	pair	1.074786	0.567372	1.894324	-0.3493680953979492	0.791329026222229
04_to_07	pair	0.931253	0.508327	1.831995	-0.45528972148895264	0.8743322491645813
04_to_08	pair	0.930857	0.552506	1.684789	0.07698822766542435	1.1789860725402832
04_to_09	pair	1.641701	1.037961	1.581660	0.0321715846657753	1.0443120002746582
04_to_10	pair	2.492961	1.651298	1.509697	-0.12398450076580048	0.81406569480896
05_to_01	pair	3.036448	2.230113	1.361567	-0.25339415669441223	0.5132539868354797
05_to_02	pair	2.553707	1.807188	1.413083	-0.2994515001773834	0.5018130540847778
05_to_03	pair	1.257285	0.882214	1.425148	-0.3365767300128937	0.5285455584526062
05_to_04	pair	0.577377	0.391993	1.472928	-0.2940799295902252	0.5366998910903931
05_to_05	identity	0.013705	0.000000	1370514.370501	nan	nan
05_to_06	pair	0.281830	0.206488	1.364871	-0.20214638113975525	0.511277973651886
05_to_07	pair	0.389032	0.293352	1.326165	0.03351009637117386	0.8025591969490051
05_to_08	pair	0.727125	0.709533	1.024794	0.3006782531738281	0.4958968162536621
05_to_09	pair	1.520441	1.350026	1.126232	0.10687916725873947	0.4794590473175049
05_to_10	pair	2.683825	2.004568	1.338854	-0.13907569646835327	0.5529727339744568
06_to_01	pair	3.589009	2.344224	1.531001	-0.36963772773742676	0.6183658242225647
06_to_02	pair	3.168686	1.942943	1.630869	-0.4562842547893524	0.6423161625862122
06_to_03	pair	1.837169	1.023733	1.794578	-0.5070450305938721	0.8000757694244385
06_to_04	pair	0.901433	0.548919	1.642198	-0.43820711970329285	0.6777697801589966
06_to_05	pair	0.315875	0.197175	1.602006	-0.31255149841308594	0.6875600218772888
06_to_06	identity	0.008220	0.000000	822016.131133	nan	nan
06_to_07	pair	0.291481	0.256761	1.135221	0.2232200801372528	0.6658368706703186
06_to_08	pair	0.892387	0.779425	1.144931	0.11409316211938858	0.5114945769309998
06_to_09	pair	1.999344	1.455388	1.373753	-0.14064206182956696	0.6059291958808899
06_to_10	pair	3.246022	2.104883	1.542139	-0.3271188735961914	0.6537324786186218
07_to_01	pair	3.375309	2.175454	1.551542	-0.4112733006477356	0.6061188578605652
07_to_02	pair	3.035502	1.783123	1.702351	-0.5186492204666138	0.6628944873809814
07_to_03	pair	1.840783	0.932330	1.974390	-0.6246304512023926	0.9284963607788086
07_to_04	pair	0.984783	0.490480	2.007794	-0.5596685409545898	1.0490180253982544
07_to_05	pair	0.442579	0.281266	1.573524	0.026876959949731827	0.9926276206970215
07_to_06	pair	0.341340	0.266472	1.280959	0.2088717520236969	0.7249289751052856
07_to_07	identity	0.010930	0.000000	1093013.584614	nan	nan
07_to_08	pair	0.730967	0.578268	1.264061	-0.0851917713880539	0.5108280777931213
07_to_09	pair	1.855964	1.259064	1.474082	-0.25803226232528687	0.6093606352806091
07_to_10	pair	3.138842	1.914756	1.639291	-0.40785855054855347	0.683620274066925
08_to_01	pair	2.637421	1.597771	1.650688	-0.36840832233428955	0.6964939832687378
08_to_02	pair	2.298088	1.240741	1.852190	-0.5280608534812927	0.7814319133758545
08_to_03	pair	1.348184	0.640986	2.103298	-0.4211321771144867	1.203783392906189
08_to_04	pair	0.945649	0.542766	1.742277	0.05712989717721939	1.0580857992172241
08_to_05	pair	1.114787	0.725960	1.535604	0.03725063055753708	0.8846182823181152
08_to_06	pair	1.309170	0.790356	1.656431	-0.08503611385822296	0.9600447416305542
08_to_07	pair	0.869654	0.596317	1.458375	-0.018915092572569847	0.7426245808601379
08_to_08	identity	0.022920	0.000000	2291969.954967	nan	nan
08_to_09	pair	1.258080	0.663019	1.897502	-0.2958977222442627	0.9085112810134888
08_to_10	pair	2.392666	1.306086	1.831937	-0.4441513121128082	0.8072028160095215
09_to_01	pair	1.533806	0.913012	1.679941	-0.342433899641037	0.684339165687561
09_to_02	pair	1.262596	0.687915	1.835394	-0.49685579538345337	0.7745364904403687
09_to_03	pair	1.030191	0.724928	1.421095	0.18041999638080597	0.8065336346626282
09_to_04	pair	1.596061	1.091171	1.462705	0.03671080619096756	0.7703146934509277
09_to_05	pair	2.282167	1.384569	1.648287	-0.13693396747112274	0.8368279933929443
09_to_06	pair	2.663944	1.489395	1.788608	-0.2421531230211258	0.8812594413757324
09_to_07	pair	2.517590	1.275116	1.974401	-0.24369528889656067	1.0050108432769775
09_to_08	pair	1.164070	0.687241	1.693830	-0.10206648707389832	0.7768857479095459
09_to_09	identity	0.017722	0.000000	1772151.701152	nan	nan
09_to_10	pair	0.984063	0.639679	1.538370	-0.3766847848892212	0.5843691825866699
10_to_01	pair	0.535721	0.325787	1.644393	-0.32484951615333557	0.6297393441200256
10_to_02	pair	0.627236	0.526679	1.190927	0.10195687413215637	0.48539307713508606
10_to_03	pair	1.361588	1.255602	1.084410	0.252453088760376	0.382933109998703
10_to_04	pair	1.952568	1.728322	1.129748	0.0825568363070488	0.33189842104911804
10_to_05	pair	2.402794	2.058096	1.167484	-0.08216395974159241	0.2845361828804016
10_to_06	pair	2.647144	2.191847	1.207723	-0.1856175810098648	0.3043608069419861
10_to_07	pair	2.492315	1.981711	1.257658	-0.27474597096443176	0.3464222550392151
10_to_08	pair	1.726571	1.353588	1.275551	-0.27119576930999756	0.37301233410835266
10_to_09	pair	0.800243	0.668722	1.196675	-0.3401966392993927	0.2652397155761719
10_to_10	identity	0.023268	0.000000	2326751.500368	nan	nan
