[crb_dec_mse_linear_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/InitialExperiments/Experiment1/networks/generator_crb.py cond_dim=2 im_size=128
[crb_dec_mse_linear_full128] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder | linear | train 128³ | seed=20260824
[crb_dec_mse_linear_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 62 | train MSE: 0.049798 | val MSE: 0.049137 | total time: 4 hours 56 minutes
Epoch: 63 | train MSE: 0.049901 | val MSE: 0.049898 | total time: 5 hours 2 minutes
Epoch: 64 | train MSE: 0.048541 | val MSE: 0.046503 | total time: 5 hours 7 minutes
Epoch: 65 | train MSE: 0.047905 | val MSE: 0.095969 | total time: 5 hours 13 minutes
Epoch: 66 | train MSE: 0.048797 | val MSE: 0.047151 | total time: 5 hours 18 minutes
Epoch: 67 | train MSE: 0.045823 | val MSE: 0.043385 | total time: 5 hours 23 minutes
Epoch: 68 | train MSE: 0.046606 | val MSE: 0.050569 | total time: 5 hours 29 minutes
Epoch: 69 | train MSE: 0.043792 | val MSE: 0.043223 | total time: 5 hours 34 minutes
Epoch: 70 | train MSE: 0.046368 | val MSE: 0.049574 | total time: 5 hours 40 minutes
Epoch: 71 | train MSE: 0.044825 | val MSE: 0.046312 | total time: 5 hours 45 minutes
Epoch: 72 | train MSE: 0.041595 | val MSE: 0.043135 | total time: 5 hours 50 minutes
Epoch: 73 | train MSE: 0.039276 | val MSE: 0.044079 | total time: 5 hours 56 minutes
Epoch: 74 | train MSE: 0.042432 | val MSE: 0.051998 | total time: 6 hours 1 minutes
Epoch: 75 | train MSE: 0.038928 | val MSE: 0.042486 | total time: 6 hours 7 minutes
Epoch: 76 | train MSE: 0.041580 | val MSE: 0.039814 | total time: 6 hours 12 minutes
Epoch: 77 | train MSE: 0.045133 | val MSE: 0.047451 | total time: 6 hours 17 minutes
Epoch: 78 | train MSE: 0.039427 | val MSE: 0.039885 | total time: 6 hours 23 minutes
Epoch: 79 | train MSE: 0.036566 | val MSE: 0.040716 | total time: 6 hours 28 minutes
Epoch: 80 | train MSE: 0.037437 | val MSE: 0.040773 | total time: 6 hours 34 minutes
Epoch: 81 | train MSE: 0.038641 | val MSE: 0.041679 | total time: 6 hours 39 minutes
Epoch: 82 | train MSE: 0.036985 | val MSE: 0.042389 | total time: 6 hours 44 minutes
Epoch: 83 | train MSE: 0.037493 | val MSE: 0.043424 | total time: 6 hours 50 minutes
Epoch: 84 | train MSE: 0.037166 | val MSE: 0.071885 | total time: 6 hours 55 minutes
Epoch: 85 | train MSE: 0.036925 | val MSE: 0.034655 | total time: 7 hours 1 minutes
Epoch: 86 | train MSE: 0.035760 | val MSE: 0.048836 | total time: 7 hours 6 minutes
Epoch: 87 | train MSE: 0.034855 | val MSE: 0.038229 | total time: 7 hours 11 minutes
Epoch: 88 | train MSE: 0.038952 | val MSE: 0.100840 | total time: 7 hours 17 minutes
Epoch: 89 | train MSE: 0.039502 | val MSE: 0.034988 | total time: 7 hours 22 minutes
Epoch: 90 | train MSE: 0.030647 | val MSE: 0.033600 | total time: 7 hours 28 minutes
Epoch: 91 | train MSE: 0.033798 | val MSE: 0.036581 | total time: 7 hours 33 minutes
Epoch: 92 | train MSE: 0.037317 | val MSE: 0.039669 | total time: 7 hours 38 minutes
Epoch: 93 | train MSE: 0.032431 | val MSE: 0.033316 | total time: 7 hours 44 minutes
Epoch: 94 | train MSE: 0.035065 | val MSE: 0.033915 | total time: 7 hours 49 minutes
Epoch: 95 | train MSE: 0.032455 | val MSE: 0.034370 | total time: 7 hours 55 minutes
Epoch: 96 | train MSE: 0.032640 | val MSE: 0.068878 | total time: 8 hours 0 minutes
Epoch: 97 | train MSE: 0.037128 | val MSE: 0.032144 | total time: 8 hours 5 minutes
Epoch: 98 | train MSE: 0.029892 | val MSE: 0.032830 | total time: 8 hours 9 minutes
Epoch: 99 | train MSE: 0.030739 | val MSE: 0.040051 | total time: 8 hours 14 minutes
Epoch: 100 | train MSE: 0.042675 | val MSE: 0.037416 | total time: 8 hours 18 minutes
finished best_val_mse=0.032144
