[crb_enc_mse_pop_e1] device=cuda:0 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | seed=20260817
[crb_enc_mse_pop_e1] train 8640 (540 pairs × 16) | val 480 (60 pairs × 8) | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 63 | train MSE: 0.020669 | val MSE: 0.032203 | total time: 2 hours 30 minutes
Epoch: 64 | train MSE: 0.019789 | val MSE: 0.031362 | total time: 2 hours 32 minutes
Epoch: 65 | train MSE: 0.020094 | val MSE: 0.036742 | total time: 2 hours 34 minutes
Epoch: 66 | train MSE: 0.019530 | val MSE: 0.031378 | total time: 2 hours 37 minutes
Epoch: 67 | train MSE: 0.019992 | val MSE: 0.031704 | total time: 2 hours 39 minutes
Epoch: 68 | train MSE: 0.019487 | val MSE: 0.048437 | total time: 2 hours 42 minutes
Epoch: 69 | train MSE: 0.019774 | val MSE: 0.034664 | total time: 2 hours 44 minutes
Epoch: 70 | train MSE: 0.018755 | val MSE: 0.032233 | total time: 2 hours 46 minutes
Epoch: 71 | train MSE: 0.018907 | val MSE: 0.028763 | total time: 2 hours 49 minutes
Epoch: 72 | train MSE: 0.019544 | val MSE: 0.038117 | total time: 2 hours 51 minutes
Epoch: 73 | train MSE: 0.019017 | val MSE: 0.035016 | total time: 2 hours 53 minutes
Epoch: 74 | train MSE: 0.018444 | val MSE: 0.030518 | total time: 2 hours 56 minutes
Epoch: 75 | train MSE: 0.019331 | val MSE: 0.027855 | total time: 2 hours 58 minutes
Epoch: 76 | train MSE: 0.018420 | val MSE: 0.037130 | total time: 3 hours 1 minutes
Epoch: 77 | train MSE: 0.018538 | val MSE: 0.029509 | total time: 3 hours 3 minutes
Epoch: 78 | train MSE: 0.018387 | val MSE: 0.029429 | total time: 3 hours 5 minutes
Epoch: 79 | train MSE: 0.018365 | val MSE: 0.030621 | total time: 3 hours 8 minutes
Epoch: 80 | train MSE: 0.017792 | val MSE: 0.030842 | total time: 3 hours 10 minutes
Epoch: 81 | train MSE: 0.018553 | val MSE: 0.031378 | total time: 3 hours 12 minutes
Epoch: 82 | train MSE: 0.017777 | val MSE: 0.028220 | total time: 3 hours 15 minutes
Epoch: 83 | train MSE: 0.018019 | val MSE: 0.031042 | total time: 3 hours 17 minutes
Epoch: 84 | train MSE: 0.018242 | val MSE: 0.026410 | total time: 3 hours 19 minutes
Epoch: 85 | train MSE: 0.017650 | val MSE: 0.030253 | total time: 3 hours 22 minutes
Epoch: 86 | train MSE: 0.017378 | val MSE: 0.027209 | total time: 3 hours 24 minutes
Epoch: 87 | train MSE: 0.017327 | val MSE: 0.028463 | total time: 3 hours 27 minutes
Epoch: 88 | train MSE: 0.017384 | val MSE: 0.030465 | total time: 3 hours 29 minutes
Epoch: 89 | train MSE: 0.017303 | val MSE: 0.029190 | total time: 3 hours 31 minutes
Epoch: 90 | train MSE: 0.017350 | val MSE: 0.034749 | total time: 3 hours 34 minutes
Epoch: 91 | train MSE: 0.016657 | val MSE: 0.027483 | total time: 3 hours 36 minutes
Epoch: 92 | train MSE: 0.016982 | val MSE: 0.030851 | total time: 3 hours 39 minutes
Epoch: 93 | train MSE: 0.017245 | val MSE: 0.032042 | total time: 3 hours 41 minutes
Epoch: 94 | train MSE: 0.016985 | val MSE: 0.031375 | total time: 3 hours 43 minutes
Epoch: 95 | train MSE: 0.016947 | val MSE: 0.028957 | total time: 3 hours 46 minutes
Epoch: 96 | train MSE: 0.016691 | val MSE: 0.029300 | total time: 3 hours 48 minutes
Epoch: 97 | train MSE: 0.016732 | val MSE: 0.030495 | total time: 3 hours 51 minutes
Epoch: 98 | train MSE: 0.016443 | val MSE: 0.027515 | total time: 3 hours 53 minutes
Epoch: 99 | train MSE: 0.016774 | val MSE: 0.028147 | total time: 3 hours 55 minutes
Epoch: 100 | train MSE: 0.016374 | val MSE: 0.027230 | total time: 3 hours 58 minutes
finished best_val_mse=0.026410
