[crb_both_mse_linear_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/InitialExperiments/Experiment1/networks/generator_crb.py cond_dim=2 im_size=128
[crb_both_mse_linear_full128] device=cuda:1 | UNetCRBBoth params=1.08M | loss=lung-masked MSE | no D | CRB=both | linear | train 128³ | seed=20260824
[crb_both_mse_linear_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 62 | train MSE: 0.054800 | val MSE: 0.053743 | total time: 4 hours 59 minutes
Epoch: 63 | train MSE: 0.053117 | val MSE: 0.048408 | total time: 5 hours 4 minutes
Epoch: 64 | train MSE: 0.049362 | val MSE: 0.048388 | total time: 5 hours 9 minutes
Epoch: 65 | train MSE: 0.051485 | val MSE: 0.086216 | total time: 5 hours 15 minutes
Epoch: 66 | train MSE: 0.050342 | val MSE: 0.053060 | total time: 5 hours 20 minutes
Epoch: 67 | train MSE: 0.048801 | val MSE: 0.055245 | total time: 5 hours 26 minutes
Epoch: 68 | train MSE: 0.054978 | val MSE: 0.048368 | total time: 5 hours 31 minutes
Epoch: 69 | train MSE: 0.047901 | val MSE: 0.052953 | total time: 5 hours 36 minutes
Epoch: 70 | train MSE: 0.050100 | val MSE: 0.058461 | total time: 5 hours 42 minutes
Epoch: 71 | train MSE: 0.051177 | val MSE: 0.047545 | total time: 5 hours 47 minutes
Epoch: 72 | train MSE: 0.048346 | val MSE: 0.050010 | total time: 5 hours 53 minutes
Epoch: 73 | train MSE: 0.044693 | val MSE: 0.050364 | total time: 5 hours 58 minutes
Epoch: 74 | train MSE: 0.044946 | val MSE: 0.048989 | total time: 6 hours 4 minutes
Epoch: 75 | train MSE: 0.050072 | val MSE: 0.048265 | total time: 6 hours 9 minutes
Epoch: 76 | train MSE: 0.046187 | val MSE: 0.044425 | total time: 6 hours 14 minutes
Epoch: 77 | train MSE: 0.043038 | val MSE: 0.064270 | total time: 6 hours 20 minutes
Epoch: 78 | train MSE: 0.046618 | val MSE: 0.041812 | total time: 6 hours 25 minutes
Epoch: 79 | train MSE: 0.041028 | val MSE: 0.040654 | total time: 6 hours 31 minutes
Epoch: 80 | train MSE: 0.047706 | val MSE: 0.065245 | total time: 6 hours 36 minutes
Epoch: 81 | train MSE: 0.041145 | val MSE: 0.041551 | total time: 6 hours 42 minutes
Epoch: 82 | train MSE: 0.043814 | val MSE: 0.043979 | total time: 6 hours 47 minutes
Epoch: 83 | train MSE: 0.042208 | val MSE: 0.040508 | total time: 6 hours 52 minutes
Epoch: 84 | train MSE: 0.041096 | val MSE: 0.047947 | total time: 6 hours 58 minutes
Epoch: 85 | train MSE: 0.044318 | val MSE: 0.040264 | total time: 7 hours 3 minutes
Epoch: 86 | train MSE: 0.037560 | val MSE: 0.056847 | total time: 7 hours 9 minutes
Epoch: 87 | train MSE: 0.043483 | val MSE: 0.040766 | total time: 7 hours 14 minutes
Epoch: 88 | train MSE: 0.042282 | val MSE: 0.046881 | total time: 7 hours 20 minutes
Epoch: 89 | train MSE: 0.041090 | val MSE: 0.038266 | total time: 7 hours 25 minutes
Epoch: 90 | train MSE: 0.037104 | val MSE: 0.039786 | total time: 7 hours 30 minutes
Epoch: 91 | train MSE: 0.047717 | val MSE: 0.047655 | total time: 7 hours 36 minutes
Epoch: 92 | train MSE: 0.036341 | val MSE: 0.040562 | total time: 7 hours 41 minutes
Epoch: 93 | train MSE: 0.040828 | val MSE: 0.043489 | total time: 7 hours 47 minutes
Epoch: 94 | train MSE: 0.037676 | val MSE: 0.041446 | total time: 7 hours 52 minutes
Epoch: 95 | train MSE: 0.035229 | val MSE: 0.049586 | total time: 7 hours 57 minutes
Epoch: 96 | train MSE: 0.040143 | val MSE: 0.048100 | total time: 8 hours 3 minutes
Epoch: 97 | train MSE: 0.042578 | val MSE: 0.040485 | total time: 8 hours 7 minutes
Epoch: 98 | train MSE: 0.035275 | val MSE: 0.037086 | total time: 8 hours 12 minutes
Epoch: 99 | train MSE: 0.037199 | val MSE: 0.057702 | total time: 8 hours 16 minutes
Epoch: 100 | train MSE: 0.036539 | val MSE: 0.037842 | total time: 8 hours 20 minutes
finished best_val_mse=0.037086
