patient	n	L1_atlas	L1_zero	L1_atlas_oracle	alpha_oracle	cos	ratio_atlas	ratio_oracle	beat_zero_pct
P1	90	0.41714443316062294	0.5413893593682183	0.4094475048283736	1.2859194769010522	0.6761801574852061	0.7888696150496968	0.7765899009654671	97.77777777777777
P2	90	0.487036743428972	0.39087320955263244	0.3593756998578707	0.38524073593535796	0.36567062060705624	1.2676099381784582	0.92636109256178	22.22222222222222
P3	90	0.48669435845481024	0.5858130635486709	0.4853366628289223	1.2496823698123387	0.5952661454588655	0.8521048607189878	0.8483270464088635	93.33333333333333
P4	90	0.46700718369748856	0.6844489696953032	0.39453985426161026	1.7696135612344723	0.8082358338100538	0.7063704732444092	0.6247559723703482	100.0
P5	90	0.33925028286046455	0.37111264285114076	0.31106046910087265	0.6345303082921487	0.5143230130258433	0.9519066946525584	0.8632058663437203	67.77777777777777
P6	90	0.3971474206282033	0.3425576347443793	0.27422796193924215	0.4530602549635695	0.5525481678827574	1.2686949277234356	0.8281226821601172	37.77777777777778
P7	90	0.3355877617994944	0.30184807843632167	0.24925969483123886	0.5998571581826788	0.6578152365679695	1.1227472086503083	0.8409776278309264	25.555555555555557
P8	90	0.3933808541132344	0.5345388698909018	0.3866859084202184	0.9729440695872354	0.6720849545508496	0.7930535235904355	0.7674904854303872	86.66666666666667
P9	90	0.2707507010963228	0.3699895618690385	0.25154370069503784	0.8178664510989148	0.7308080284212944	0.8020517962171275	0.7278044920030564	85.55555555555556
