[crb_dec_mse_pop_e2] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder-only | seed=20260818
[crb_dec_mse_pop_e2] train 5760 (360 pairs × 16) | val 320 (40 pairs × 8) | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 64 | train MSE: 0.028913 | val MSE: 0.046362 | total time: 2 hours 5 minutes
Epoch: 65 | train MSE: 0.028695 | val MSE: 0.043231 | total time: 2 hours 7 minutes
Epoch: 66 | train MSE: 0.027397 | val MSE: 0.045275 | total time: 2 hours 9 minutes
Epoch: 67 | train MSE: 0.027729 | val MSE: 0.040853 | total time: 2 hours 11 minutes
Epoch: 68 | train MSE: 0.028396 | val MSE: 0.037363 | total time: 2 hours 13 minutes
Epoch: 69 | train MSE: 0.027817 | val MSE: 0.039385 | total time: 2 hours 15 minutes
Epoch: 70 | train MSE: 0.026960 | val MSE: 0.037522 | total time: 2 hours 17 minutes
Epoch: 71 | train MSE: 0.026752 | val MSE: 0.036117 | total time: 2 hours 19 minutes
Epoch: 72 | train MSE: 0.027135 | val MSE: 0.038448 | total time: 2 hours 21 minutes
Epoch: 73 | train MSE: 0.026887 | val MSE: 0.042042 | total time: 2 hours 23 minutes
Epoch: 74 | train MSE: 0.026412 | val MSE: 0.036220 | total time: 2 hours 25 minutes
Epoch: 75 | train MSE: 0.026095 | val MSE: 0.036574 | total time: 2 hours 27 minutes
Epoch: 76 | train MSE: 0.025913 | val MSE: 0.039049 | total time: 2 hours 29 minutes
Epoch: 77 | train MSE: 0.025921 | val MSE: 0.036912 | total time: 2 hours 31 minutes
Epoch: 78 | train MSE: 0.025837 | val MSE: 0.038039 | total time: 2 hours 33 minutes
Epoch: 79 | train MSE: 0.025295 | val MSE: 0.038708 | total time: 2 hours 35 minutes
Epoch: 80 | train MSE: 0.024957 | val MSE: 0.037083 | total time: 2 hours 37 minutes
Epoch: 81 | train MSE: 0.024933 | val MSE: 0.041484 | total time: 2 hours 38 minutes
Epoch: 82 | train MSE: 0.025200 | val MSE: 0.035252 | total time: 2 hours 40 minutes
Epoch: 83 | train MSE: 0.024633 | val MSE: 0.035169 | total time: 2 hours 42 minutes
Epoch: 84 | train MSE: 0.024609 | val MSE: 0.036046 | total time: 2 hours 44 minutes
Epoch: 85 | train MSE: 0.024460 | val MSE: 0.035190 | total time: 2 hours 46 minutes
Epoch: 86 | train MSE: 0.023912 | val MSE: 0.040694 | total time: 2 hours 48 minutes
Epoch: 87 | train MSE: 0.024374 | val MSE: 0.038438 | total time: 2 hours 50 minutes
Epoch: 88 | train MSE: 0.023866 | val MSE: 0.046293 | total time: 2 hours 52 minutes
Epoch: 89 | train MSE: 0.024241 | val MSE: 0.033950 | total time: 2 hours 54 minutes
Epoch: 90 | train MSE: 0.023912 | val MSE: 0.040106 | total time: 2 hours 56 minutes
Epoch: 91 | train MSE: 0.023351 | val MSE: 0.038286 | total time: 2 hours 58 minutes
Epoch: 92 | train MSE: 0.023035 | val MSE: 0.033747 | total time: 3 hours 0 minutes
Epoch: 93 | train MSE: 0.023380 | val MSE: 0.036117 | total time: 3 hours 2 minutes
Epoch: 94 | train MSE: 0.023036 | val MSE: 0.045262 | total time: 3 hours 4 minutes
Epoch: 95 | train MSE: 0.023375 | val MSE: 0.034924 | total time: 3 hours 6 minutes
Epoch: 96 | train MSE: 0.022865 | val MSE: 0.035827 | total time: 3 hours 8 minutes
Epoch: 97 | train MSE: 0.022708 | val MSE: 0.039420 | total time: 3 hours 10 minutes
Epoch: 98 | train MSE: 0.022496 | val MSE: 0.033320 | total time: 3 hours 12 minutes
Epoch: 99 | train MSE: 0.022347 | val MSE: 0.035603 | total time: 3 hours 14 minutes
Epoch: 100 | train MSE: 0.022323 | val MSE: 0.034394 | total time: 3 hours 16 minutes
finished best_val_mse=0.033320
