pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.060318	0.000000	6031796.708703	nan	nan
01_to_02	pair	0.237529	0.190468	1.247081	-0.05744224041700363	0.44582563638687134
01_to_03	pair	1.006395	0.584207	1.722667	-0.06288022547960281	0.7358291149139404
01_to_04	pair	1.699767	0.988564	1.719430	-0.12007693946361542	0.7461316585540771
01_to_05	pair	2.405286	1.311375	1.834171	-0.2076747566461563	0.7929025888442993
01_to_06	pair	2.829273	1.570139	1.801926	-0.2860722839832306	0.7633503079414368
01_to_07	pair	2.604960	1.458549	1.785994	-0.34168630838394165	0.7371463179588318
01_to_08	pair	1.689984	1.013706	1.667135	-0.437224417924881	0.5899678468704224
01_to_09	pair	0.956785	0.573070	1.669577	-0.4829747974872589	0.5708523392677307
01_to_10	pair	0.278724	0.179559	1.552264	-0.37250804901123047	0.5944576263427734
02_to_01	pair	0.234100	0.183776	1.273837	-0.004053338896483183	0.44600537419319153
02_to_02	identity	0.051191	0.000000	5119093.134999	nan	nan
02_to_03	pair	0.677755	0.430930	1.572775	-0.13931283354759216	0.5524753928184509
02_to_04	pair	1.382016	0.839027	1.647166	-0.2081674039363861	0.6334556937217712
02_to_05	pair	2.005059	1.118447	1.792717	-0.24168042838573456	0.7088152766227722
02_to_06	pair	2.513537	1.408059	1.785108	-0.3531721830368042	0.7093753218650818
02_to_07	pair	2.339878	1.316590	1.777226	-0.41343724727630615	0.7102135419845581
02_to_08	pair	1.559481	0.887366	1.757427	-0.5115313529968262	0.6613843441009521
02_to_09	pair	0.896166	0.499168	1.795320	-0.4724913537502289	0.7319170236587524
02_to_10	pair	0.368128	0.224332	1.640992	0.06661882251501083	1.0850478410720825
03_to_01	pair	1.027573	0.562706	1.826127	-0.11495456099510193	0.7469446063041687
03_to_02	pair	0.638950	0.396131	1.612975	-0.1464172899723053	0.5494530200958252
03_to_03	identity	0.050768	0.000000	5076798.051596	nan	nan
03_to_04	pair	0.614834	0.382081	1.609173	-0.2196362167596817	0.6435679793357849
03_to_05	pair	1.231789	0.658934	1.869366	-0.2769932746887207	0.7220892310142517
03_to_06	pair	1.774796	0.889628	1.994986	-0.3902428150177002	0.8368404507637024
03_to_07	pair	1.767678	0.831008	2.127149	-0.4390764534473419	0.9851309657096863
03_to_08	pair	1.124454	0.508841	2.209835	-0.44561922550201416	1.1578632593154907
03_to_09	pair	0.666179	0.348696	1.910488	0.12366484850645065	1.4472129344940186
03_to_10	pair	0.738448	0.483550	1.527140	0.25010809302330017	0.8285481333732605
04_to_01	pair	2.504359	0.981249	2.552216	-0.27765023708343506	1.2276679277420044
04_to_02	pair	1.765873	0.826522	2.136510	-0.29535382986068726	0.9679073095321655
04_to_03	pair	0.677094	0.360963	1.875799	-0.253397673368454	0.8314855694770813
