pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
09_to_04	pair	1.821151	1.742337	1.045235	0.11681682616472244	0.3565085828304291
09_to_05	pair	2.456835	2.244825	1.094444	-0.062225863337516785	0.4045034945011139
09_to_06	pair	2.790286	2.454732	1.136697	-0.14342227578163147	0.40312784910202026
09_to_07	pair	3.013871	2.722823	1.106892	-0.2087559551000595	0.2816673517227173
09_to_08	pair	2.209857	2.099986	1.052320	-0.2747349441051483	0.10954910516738892
09_to_09	identity	0.030881	0.000000	3088093.921542	nan	nan
09_to_10	pair	2.019205	1.880374	1.073832	-0.4291134178638458	0.12482007592916489
10_to_01	pair	0.983039	0.954674	1.029711	-0.24909615516662598	0.08560158312320709
10_to_02	pair	0.799967	0.781081	1.024180	0.03600950911641121	0.17984241247177124
10_to_03	pair	1.878367	1.689583	1.111734	-0.07607461512088776	0.3797236979007721
10_to_04	pair	3.546544	2.944356	1.204523	-0.2549463212490082	0.43682411313056946
10_to_05	pair	4.745441	3.783963	1.254093	-0.34294477105140686	0.4408356249332428
10_to_06	pair	5.325385	4.209403	1.265116	-0.37376919388771057	0.43270713090896606
10_to_07	pair	5.510412	4.534890	1.215115	-0.4227195978164673	0.34217485785484314
10_to_08	pair	4.534063	4.024310	1.126668	-0.45124930143356323	0.1890864372253418
10_to_09	pair	2.104442	1.891598	1.112521	-0.39208710193634033	0.1678362786769867
10_to_10	identity	0.024130	0.000000	2412971.667945	nan	nan
