[2026-08-26 10:25:20] === E2 QC START gpu=0 (enc/dec/both × varian+elekta) ===
[2026-08-26 10:25:20] QC varian encoder CV_P1_V_01
[ckpt] cond_dim=2 phase=linear
[encoder] scan=CV_P1_V_01 pairs=100 panels=100 ckpt=crb_enc_mse_cyclic_full_spare_generator.pth out=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/EncoderCRB/plots/qc_varian/P1/CV_P1_V_01
[071/100] 08_to_01  L1=0.524  L1/zero=1.00  cos=0.36  k=0.87
[072/100] 08_to_02  L1=0.559  L1/zero=0.87  cos=0.42  k=0.47
[073/100] 08_to_03  L1=0.630  L1/zero=0.90  cos=0.42  k=0.30
[074/100] 08_to_04  L1=0.692  L1/zero=0.91  cos=0.43  k=0.28
[075/100] 08_to_05  L1=0.622  L1/zero=0.91  cos=0.38  k=0.33
[076/100] 08_to_06  L1=0.377  L1/zero=0.90  cos=0.40  k=0.65
[077/100] 08_to_07  L1=0.169  L1/zero=1.14  cos=0.21  k=0.68
[078/100] 08_to_08  L1=0.005  L1/zero=514514.60  cos=nan  k=nan
[079/100] 08_to_09  L1=0.195  L1/zero=1.26  cos=0.29  k=1.12
[080/100] 08_to_10  L1=0.423  L1/zero=1.20  cos=0.29  k=1.02
[081/100] 09_to_01  L1=0.418  L1/zero=1.18  cos=0.12  k=0.77
[082/100] 09_to_02  L1=0.560  L1/zero=1.01  cos=0.10  k=0.38
[083/100] 09_to_03  L1=0.645  L1/zero=0.90  cos=0.35  k=0.41
[084/100] 09_to_04  L1=0.682  L1/zero=0.93  cos=0.36  k=0.59
[085/100] 09_to_05  L1=0.810  L1/zero=0.97  cos=0.34  k=0.60
[086/100] 09_to_06  L1=0.673  L1/zero=1.03  cos=0.41  k=0.93
[087/100] 09_to_07  L1=0.420  L1/zero=1.19  cos=0.37  k=1.21
[088/100] 09_to_08  L1=0.207  L1/zero=1.40  cos=0.25  k=1.22
[089/100] 09_to_09  L1=0.004  L1/zero=409807.82  cos=nan  k=nan
[090/100] 09_to_10  L1=0.198  L1/zero=1.30  cos=0.23  k=1.06
[091/100] 10_to_01  L1=0.199  L1/zero=1.13  cos=-0.13  k=0.37
[092/100] 10_to_02  L1=0.510  L1/zero=1.03  cos=0.04  k=0.30
[093/100] 10_to_03  L1=0.613  L1/zero=1.00  cos=0.22  k=0.63
[094/100] 10_to_04  L1=0.644  L1/zero=0.94  cos=0.39  k=0.80
[095/100] 10_to_05  L1=0.784  L1/zero=1.00  cos=0.33  k=0.81
[096/100] 10_to_06  L1=0.825  L1/zero=1.07  cos=0.33  k=0.89
[097/100] 10_to_07  L1=0.592  L1/zero=1.08  cos=0.28  k=0.79
[098/100] 10_to_08  L1=0.405  L1/zero=1.14  cos=0.22  k=0.78
[099/100] 10_to_09  L1=0.192  L1/zero=1.24  cos=0.17  k=0.87
[100/100] 10_to_10  L1=0.005  L1/zero=471650.34  cos=nan  k=nan

[encoder] Directed mean: L1=0.509  L1/zero=0.99  cos=0.35  k=0.63  beat_zero=67%
wrote /home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/EncoderCRB/plots/qc_varian/P1/CV_P1_V_01 (100 pngs)
[2026-08-26 10:26:06] QC varian encoder CV_P2_V_01
[ckpt] cond_dim=2 phase=linear
[encoder] scan=CV_P2_V_01 pairs=100 panels=100 ckpt=crb_enc_mse_cyclic_full_spare_generator.pth out=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/EncoderCRB/plots/qc_varian/P2/CV_P2_V_01
[001/100] 01_to_01  L1=0.002  L1/zero=245972.65  cos=nan  k=nan
[002/100] 01_to_02  L1=0.304  L1/zero=0.91  cos=0.44  k=0.28
[003/100] 01_to_03  L1=0.675  L1/zero=0.89  cos=0.52  k=0.37
[004/100] 01_to_04  L1=0.876  L1/zero=0.89  cos=0.55  k=0.45
[005/100] 01_to_05  L1=0.986  L1/zero=0.87  cos=0.56  k=0.47
[006/100] 01_to_06  L1=0.967  L1/zero=0.85  cos=0.58  k=0.48
[007/100] 01_to_07  L1=0.804  L1/zero=0.85  cos=0.61  k=0.54
[008/100] 01_to_08  L1=0.718  L1/zero=0.90  cos=0.56  k=0.57
[009/100] 01_to_09  L1=0.463  L1/zero=0.87  cos=0.60  k=0.51
[010/100] 01_to_10  L1=0.208  L1/zero=0.90  cos=0.54  k=0.56
[011/100] 02_to_01  L1=0.318  L1/zero=0.93  cos=0.50  k=0.18
[012/100] 02_to_02  L1=0.003  L1/zero=304085.67  cos=nan  k=nan
[013/100] 02_to_03  L1=0.286  L1/zero=0.87  cos=0.62  k=0.49
[014/100] 02_to_04  L1=0.589  L1/zero=0.86  cos=0.64  k=0.41
[015/100] 02_to_05  L1=0.743  L1/zero=0.85  cos=0.63  k=0.49
[016/100] 02_to_06  L1=0.819  L1/zero=0.83  cos=0.63  k=0.53
[017/100] 02_to_07  L1=0.742  L1/zero=0.81  cos=0.64  k=0.54
[018/100] 02_to_08  L1=0.597  L1/zero=0.79  cos=0.63  k=0.54
[019/100] 02_to_09  L1=0.419  L1/zero=0.84  cos=0.59  k=0.49
[020/100] 02_to_10  L1=0.371  L1/zero=0.95  cos=0.36  k=0.25
[021/100] 03_to_01  L1=0.687  L1/zero=0.89  cos=0.52  k=0.29
[022/100] 03_to_02  L1=0.300  L1/zero=0.88  cos=0.63  k=0.45
[023/100] 03_to_03  L1=0.004  L1/zero=429263.94  cos=nan  k=nan
[024/100] 03_to_04  L1=0.238  L1/zero=0.84  cos=0.68  k=0.48
[025/100] 03_to_05  L1=0.508  L1/zero=0.85  cos=0.60  k=0.49
[026/100] 03_to_06  L1=0.618  L1/zero=0.86  cos=0.56  k=0.55
[027/100] 03_to_07  L1=0.620  L1/zero=0.87  cos=0.55  k=0.56
[028/100] 03_to_08  L1=0.548  L1/zero=0.86  cos=0.54  k=0.48
[029/100] 03_to_09  L1=0.492  L1/zero=0.87  cos=0.47  k=0.35
[030/100] 03_to_10  L1=0.650  L1/zero=0.94  cos=0.32  k=0.32
[031/100] 04_to_01  L1=0.898  L1/zero=0.87  cos=0.56  k=0.37
[032/100] 04_to_02  L1=0.614  L1/zero=0.87  cos=0.61  k=0.39
[033/100] 04_to_03  L1=0.255  L1/zero=0.91  cos=0.57  k=0.35
[034/100] 04_to_04  L1=0.003  L1/zero=297253.93  cos=nan  k=nan
[035/100] 04_to_05  L1=0.182  L1/zero=0.84  cos=0.61  k=0.57
[036/100] 04_to_06  L1=0.352  L1/zero=0.83  cos=0.55  k=0.52
[037/100] 04_to_07  L1=0.449  L1/zero=0.88  cos=0.51  k=0.48
[038/100] 04_to_08  L1=0.519  L1/zero=0.92  cos=0.43  k=0.36
[039/100] 04_to_09  L1=0.598  L1/zero=0.88  cos=0.41  k=0.32
[040/100] 04_to_10  L1=0.777  L1/zero=0.88  cos=0.52  k=0.39
[041/100] 05_to_01  L1=1.052  L1/zero=0.86  cos=0.58  k=0.37
[042/100] 05_to_02  L1=0.799  L1/zero=0.87  cos=0.57  k=0.41
[043/100] 05_to_03  L1=0.519  L1/zero=0.88  cos=0.55  k=0.37
[044/100] 05_to_04  L1=0.195  L1/zero=0.86  cos=0.52  k=0.50
[045/100] 05_to_05  L1=0.002  L1/zero=218261.36  cos=nan  k=nan
[046/100] 05_to_06  L1=0.139  L1/zero=1.00  cos=0.40  k=0.76
[047/100] 05_to_07  L1=0.282  L1/zero=0.99  cos=0.27  k=0.54
[048/100] 05_to_08  L1=0.447  L1/zero=0.88  cos=0.46  k=0.31
[049/100] 05_to_09  L1=0.630  L1/zero=0.88  cos=0.49  k=0.42
[050/100] 05_to_10  L1=0.911  L1/zero=0.88  cos=0.53  k=0.41
[051/100] 06_to_01  L1=1.053  L1/zero=0.84  cos=0.60  k=0.42
[052/100] 06_to_02  L1=0.854  L1/zero=0.84  cos=0.58  k=0.46
[053/100] 06_to_03  L1=0.619  L1/zero=0.87  cos=0.52  k=0.46
[054/100] 06_to_04  L1=0.357  L1/zero=0.85  cos=0.52  k=0.52
[055/100] 06_to_05  L1=0.141  L1/zero=0.93  cos=0.39  k=0.56
[056/100] 06_to_06  L1=0.002  L1/zero=229953.53  cos=nan  k=nan
[057/100] 06_to_07  L1=0.159  L1/zero=0.95  cos=0.28  k=0.56
[058/100] 06_to_08  L1=0.311  L1/zero=0.87  cos=0.51  k=0.48
[059/100] 06_to_09  L1=0.551  L1/zero=0.88  cos=0.53  k=0.52
[060/100] 06_to_10  L1=0.905  L1/zero=0.87  cos=0.53  k=0.44
[061/100] 07_to_01  L1=0.899  L1/zero=0.83  cos=0.61  k=0.45
[062/100] 07_to_02  L1=0.807  L1/zero=0.80  cos=0.58  k=0.44
