pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.017775	0.000000	1777452.602983	nan	nan
01_to_02	pair	0.487805	0.500032	0.975546	0.26680824160575867	0.1874069720506668
01_to_03	pair	1.436679	1.357139	1.058609	0.05576227977871895	0.2926182150840759
01_to_04	pair	2.151538	1.894294	1.135800	-0.04967699944972992	0.38485583662986755
01_to_05	pair	2.703839	2.303289	1.173903	-0.17231963574886322	0.3853244185447693
01_to_06	pair	2.966213	2.467744	1.201994	-0.24400830268859863	0.39852702617645264
01_to_07	pair	2.639733	1.953732	1.351124	-0.35016554594039917	0.49224627017974854
01_to_08	pair	2.112069	1.473227	1.433634	-0.42580661177635193	0.5036814212799072
01_to_09	pair	1.273355	0.841967	1.512357	-0.4597374498844147	0.5688869953155518
01_to_10	pair	0.458560	0.354582	1.293240	-0.36352211236953735	0.3971458673477173
02_to_01	pair	0.491435	0.504682	0.973751	0.2554824948310852	0.22895683348178864
02_to_02	identity	0.008264	0.000000	826350.226998	nan	nan
02_to_03	pair	0.991680	0.962866	1.029925	0.0701465904712677	0.2415032982826233
02_to_04	pair	1.619567	1.448203	1.118329	-0.060402560979127884	0.3411870002746582
02_to_05	pair	2.153528	1.870195	1.151500	-0.14541183412075043	0.3502945601940155
02_to_06	pair	2.463364	2.062728	1.194226	-0.2144654244184494	0.37849733233451843
02_to_07	pair	2.276311	1.638107	1.389598	-0.37932419776916504	0.4871174097061157
02_to_08	pair	1.865160	1.267377	1.471670	-0.5080277323722839	0.5077111721038818
02_to_09	pair	1.177459	0.785592	1.498818	-0.5191274881362915	0.5606947541236877
02_to_10	pair	0.652840	0.578488	1.128529	-0.1679808497428894	0.2965075373649597
03_to_01	pair	1.380832	1.358387	1.016523	0.11630827933549881	0.29648149013519287
03_to_02	pair	0.977471	0.966843	1.010992	0.053221195936203	0.2529223561286926
03_to_03	identity	0.012797	0.000000	1279666.274786	nan	nan
03_to_04	pair	0.594955	0.510750	1.164866	-0.17718416452407837	0.33250829577445984
03_to_05	pair	1.097645	0.903522	1.214851	-0.21162626147270203	0.3854668140411377
03_to_06	pair	1.378405	1.081128	1.274970	-0.26227468252182007	0.4212440848350525
03_to_07	pair	1.420111	0.936816	1.515891	-0.5188193321228027	0.5842636227607727
03_to_08	pair	1.269486	0.937866	1.353590	-0.44018566608428955	0.48094111680984497
03_to_09	pair	1.112609	1.029425	1.080807	0.022110896185040474	0.3296416699886322
03_to_10	pair	1.284246	1.249048	1.028180	0.2059086561203003	0.31952229142189026
04_to_01	pair	1.991410	1.860282	1.070488	0.026361024007201195	0.3543406128883362
04_to_02	pair	1.592999	1.485778	1.072165	-0.03380946069955826	0.3152959942817688
04_to_03	pair	0.570320	0.496272	1.149209	-0.10601313412189484	0.37207460403442383
04_to_04	identity	0.008264	0.000000	826380.588114	nan	nan
04_to_05	pair	0.511690	0.454253	1.126442	-0.10253531485795975	0.26224347949028015
04_to_06	pair	0.816803	0.675193	1.209733	-0.22063051164150238	0.32828235626220703
04_to_07	pair	0.928090	0.692926	1.339379	-0.4379419684410095	0.47890397906303406
04_to_08	pair	1.169546	1.061293	1.102001	-0.12233272194862366	0.32078608870506287
04_to_09	pair	1.445138	1.410185	1.024786	0.1949252486228943	0.3035673201084137
04_to_10	pair	1.770133	1.703877	1.038885	0.15927714109420776	0.37663188576698303
