pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.052955	0.000000	5295504.629612	nan	nan
01_to_02	pair	0.713847	0.759229	0.940226	0.3094099164009094	0.2554507851600647
01_to_03	pair	1.835183	1.507534	1.217342	0.1507544219493866	0.5042093396186829
01_to_04	pair	2.826196	1.914882	1.475911	-0.008412384428083897	0.6309115886688232
01_to_05	pair	3.591277	2.148292	1.671689	-0.09667997062206268	0.7223255038261414
01_to_06	pair	3.899040	2.193208	1.777780	-0.1330445110797882	0.7691901326179504
01_to_07	pair	3.304154	1.916187	1.724338	-0.1323084682226181	0.7604328989982605
01_to_08	pair	2.013252	1.394589	1.443616	-0.13049182295799255	0.5306777358055115
01_to_09	pair	1.068248	0.734614	1.454163	-0.22223855555057526	0.5106520652770996
01_to_10	pair	0.317090	0.243599	1.301689	-0.2949257493019104	0.38866445422172546
02_to_01	pair	0.692749	0.708290	0.978059	0.24652913212776184	0.28079432249069214
02_to_02	identity	0.047133	0.000000	4713281.616569	nan	nan
02_to_03	pair	0.985538	0.767162	1.284653	0.08436965942382812	0.4866974651813507
02_to_04	pair	1.767392	1.154046	1.531475	-0.017279142513871193	0.6418176889419556
02_to_05	pair	2.429701	1.418059	1.713399	-0.09188611805438995	0.723487138748169
02_to_06	pair	2.746258	1.501765	1.828686	-0.14503981173038483	0.7886870503425598
02_to_07	pair	2.275334	1.265413	1.798096	-0.18700793385505676	0.8045029640197754
02_to_08	pair	1.292807	0.855304	1.511517	-0.29378876090049744	0.6113510131835938
02_to_09	pair	0.711729	0.554591	1.283340	-0.1638192981481552	0.4822303056716919
02_to_10	pair	0.635779	0.696605	0.912683	0.4410880506038666	0.34493547677993774
03_to_01	pair	1.645335	1.417146	1.161020	0.11976028233766556	0.4117386043071747
03_to_02	pair	0.835574	0.733452	1.139235	0.11300325393676758	0.3480806350708008
03_to_03	identity	0.047244	0.000000	4724423.959851	nan	nan
