scan	P	lung_vox	id_absmean_vox	mean_mag_all_mm	mag_01_to_06_mm	max_pair	max_mag_mm	abs_LR_01_06	abs_AP_01_06	abs_SI_01_06	fold_frac_mean
S1	100	1056548	0.0	4.152925962209702	9.075961112976074	01_to_06	9.075961112976074	1.8030946254730225	3.2460968494415283	7.631676197052002	0.00012599164110629348
S2	101	913082	0.0	3.5426452424791126	7.461191177368164	01_to_06	7.461191177368164	1.8435438871383667	2.7527217864990234	5.969070911407471	0.00011819032304245198
S3	102	965449	0.0	2.2487109535270267	4.528297424316406	01_to_06	4.528297424316406	1.5157060623168945	1.7457984685897827	3.326648712158203	0.0
S4	103	910389	0.0	2.943607552846273	6.363431453704834	01_to_06	6.363431453704834	1.0606236457824707	2.555907726287842	5.366568565368652	0.0
S5	103	867081	0.0	5.68322247200542	11.653438568115234	07_to_01	12.864306449890137	2.484358072280884	4.279366970062256	9.768572807312012	0.0005434363408152247
S6	103	899646	0.0	2.764114182525211	6.214473247528076	01_to_06	6.214473247528076	1.0700886249542236	2.7366278171539307	5.063864707946777	0.0
S7	104	845282	0.0	3.8405863993697698	8.471458435058594	01_to_07	8.815583229064941	1.7561578750610352	2.9102442264556885	7.182089328765869	0.00022569124715177643
S8	105	1069328	0.0	3.0347477508915794	6.704365253448486	01_to_06	6.704365253448486	1.4045706987380981	2.5929758548736572	5.512326717376709	0.00014550185300889274
S9	106	635968	0.0	3.1017581184705096	6.515921592712402	06_to_01	7.260885715484619	1.7515323162078857	2.8313941955566406	4.8412861824035645	0.000595357644966
S10	107	597545	0.0	2.30580373538865	3.6194252967834473	01_to_06	3.6194252967834473	0.7290617227554321	1.0538164377212524	3.1563069820404053	0.0004554776917713757
S11	107	575180	0.0	2.378059952788883	4.883630275726318	01_to_07	4.9059157371521	0.845227837562561	1.665261149406433	4.197707176208496	0.0
S12	107	613135	0.0	1.9622396647930145	4.352494716644287	01_to_06	4.352494716644287	0.8222353458404541	1.5334782600402832	3.6922292709350586	0.0
S13	107	608450	0.0	1.6424046708477869	3.075308084487915	01_to_07	3.4357717037200928	0.6569719910621643	1.0118165016174316	2.589043140411377	0.0
S14	107	617248	0.0	1.4392669488986334	2.090742826461792	10_to_05	2.784571647644043	0.5142365097999573	0.9959521889686584	1.531290054321289	2.4581379113693794e-06
S15	108	1116130	0.0	2.385860194762548	4.445676803588867	01_to_07	4.737083435058594	1.0096204280853271	1.486332893371582	3.4710912704467773	0.0002860084658505892
S16	108	1119974	0.0	2.0954702681965296	4.579923152923584	01_to_06	4.579923152923584	1.047322154045105	1.49805748462677	3.7553772926330566	0.0
S17	108	1238525	0.0	4.171088661087884	8.788771629333496	01_to_07	9.295733451843262	1.9309808015823364	3.211435079574585	7.139419078826904	0.00018346274228779271
